date,open,high,low,close,volume
1673308800000,0.2366,0.2385,0.2366,0.2385,575245
1673309700000,0.2384,0.2398,0.2378,0.2394,958872
1673310600000,0.2393,0.241,0.239,0.2401,1206400
1673311500000,0.2401,0.2411,0.2395,0.2408,922450
1673312400000,0.2409,0.2409,0.2386,0.2386,1132643
1673313300000,0.2386,0.2396,0.2384,0.2384,959724
1673314200000,0.2384,0.2403,0.238,0.24,695024
1673315100000,0.2402,0.2404,0.239,0.2392,528308
1673316000000,0.2392,0.2403,0.2392,0.2403,195805
1673316900000,0.2401,0.2404,0.2371,0.2379,836368
1673317800000,0.2378,0.2383,0.2321,0.2339,3690599
1673318700000,0.2339,0.2358,0.2338,0.2348,977424
1673319600000,0.2349,0.2359,0.2343,0.2356,607883
1673320500000,0.2357,0.236,0.2352,0.2356,685322
1673321400000,0.2357,0.2361,0.2352,0.236,346221
1673322300000,0.2361,0.2372,0.2358,0.2371,326989
1673323200000,0.2371,0.2373,0.2366,0.2372,234799
1673324100000,0.2372,0.2373,0.2364,0.2364,425384
1673325000000,0.2365,0.2367,0.2357,0.2365,410577
1673325900000,0.2365,0.2383,0.2365,0.2381,453489
1673326800000,0.2382,0.2382,0.2368,0.2372,1488224
1673327700000,0.2371,0.2375,0.2367,0.2369,924320
1673328600000,0.2371,0.2381,0.2365,0.2378,440413
1673329500000,0.2378,0.2383,0.2377,0.2383,368946
1673330400000,0.2383,0.2386,0.2377,0.2382,392971
1673331300000,0.2381,0.2385,0.2373,0.2374,726503
1673332200000,0.2374,0.2376,0.2362,0.2367,462239
1673333100000,0.2368,0.2376,0.2366,0.2373,562860
1673334000000,0.2374,0.2378,0.2366,0.2367,308473
1673334900000,0.2368,0.237,0.2358,0.2364,405086
1673335800000,0.2363,0.2375,0.236,0.2374,279111
1673336700000,0.2374,0.2375,0.2358,0.2363,450460
1673337600000,0.2364,0.2369,0.2355,0.2356,951116
1673338500000,0.2355,0.2383,0.2355,0.2381,1136030
1673339400000,0.238,0.2383,0.2371,0.2372,569639
1673340300000,0.2372,0.2382,0.2371,0.2381,320883
1673341200000,0.2378,0.2379,0.2374,0.2378,252945
1673342100000,0.2378,0.2388,0.2377,0.2386,618629
1673343000000,0.2386,0.2386,0.2368,0.2378,559558
1673343900000,0.2378,0.2387,0.2376,0.2379,684150
1673344800000,0.238,0.238,0.2372,0.2374,445538
1673345700000,0.2374,0.2387,0.2371,0.2387,401128
1673346600000,0.2387,0.2389,0.2379,0.238,338210
1673347500000,0.2381,0.239,0.238,0.2385,641177
1673348400000,0.2385,0.2389,0.238,0.2383,351743
1673349300000,0.2382,0.2388,0.2379,0.2385,1129525
1673350200000,0.2384,0.2384,0.2368,0.2368,1362283
1673351100000,0.2368,0.2377,0.2365,0.2367,682088
1673352000000,0.2366,0.2371,0.2354,0.237,893448
1673352900000,0.2369,0.2371,0.2349,0.2357,998089
1673353800000,0.2358,0.2363,0.2349,0.2357,529751
1673354700000,0.2357,0.2361,0.2344,0.2345,524897
1673355600000,0.2345,0.236,0.2345,0.2353,713240
1673356500000,0.2354,0.2363,0.2354,0.236,576973
1673357400000,0.236,0.236,0.2344,0.2354,725479
1673358300000,0.2353,0.2363,0.2351,0.236,781200
1673359200000,0.2359,0.2384,0.2358,0.238,1256425
1673360100000,0.2381,0.2381,0.2366,0.2373,406766
1673361000000,0.2373,0.2385,0.237,0.2375,1004065
1673361900000,0.2374,0.2379,0.2351,0.2375,1458733
1673362800000,0.2375,0.2395,0.2367,0.2392,785884
1673363700000,0.2393,0.2399,0.2379,0.2388,1350875
1673364600000,0.2388,0.2397,0.2384,0.2384,1261776
1673365500000,0.2383,0.2397,0.2381,0.2393,590991
1673366400000,0.2394,0.2396,0.2385,0.2392,389478
1673367300000,0.239,0.2398,0.2387,0.2389,761778
1673368200000,0.239,0.2393,0.2373,0.2374,753845
1673369100000,0.2375,0.2386,0.2369,0.2381,533895
1673370000000,0.238,0.2402,0.2377,0.2394,2717147
1673370900000,0.2394,0.2397,0.2386,0.2388,675321
1673371800000,0.2388,0.2394,0.2385,0.2391,372197
1673372700000,0.2392,0.241,0.2389,0.2408,932223
1673373600000,0.2407,0.2419,0.2402,0.2416,798452
1673374500000,0.2417,0.2437,0.2415,0.2434,1117082
1673375400000,0.2434,0.244,0.2422,0.2423,1039417
1673376300000,0.2423,0.2433,0.2419,0.2426,549342
1673377200000,0.2426,0.2433,0.242,0.2433,652096
1673378100000,0.2432,0.2436,0.2421,0.2434,784619
1673379000000,0.2435,0.2442,0.2433,0.2438,610920
1673379900000,0.2437,0.2449,0.2437,0.2446,824305
1673380800000,0.2446,0.2455,0.2434,0.2453,1153387
1673381700000,0.2452,0.2467,0.2443,0.2445,1382829
1673382600000,0.2444,0.245,0.2438,0.2448,741568
1673383500000,0.2448,0.2454,0.2444,0.2445,521289
1673384400000,0.2446,0.2454,0.2444,0.2446,853763
1673385300000,0.2446,0.245,0.2444,0.2444,273874
1673386200000,0.2444,0.245,0.244,0.2444,395673
1673387100000,0.2444,0.2449,0.244,0.2443,255181
1673388000000,0.2443,0.2446,0.2427,0.243,1696449
1673388900000,0.243,0.2434,0.2426,0.2428,804272
1673389800000,0.2429,0.2433,0.2403,0.241,883768
1673390700000,0.241,0.2425,0.241,0.2419,320514
1673391600000,0.2418,0.2434,0.2418,0.2428,448721
1673392500000,0.2427,0.243,0.2418,0.2429,343291
1673393400000,0.2429,0.2429,0.2418,0.2426,371127
1673394300000,0.2428,0.2434,0.2421,0.243,390286
1673395200000,0.243,0.2439,0.2418,0.2421,843722
1673396100000,0.242,0.2432,0.2416,0.2416,643403
1673397000000,0.2417,0.2424,0.2411,0.2416,323265
1673397900000,0.2417,0.2428,0.2417,0.2421,414629
1673398800000,0.242,0.2431,0.242,0.2426,301560
1673399700000,0.2427,0.2432,0.241,0.241,659261
1673400600000,0.241,0.242,0.2409,0.2419,268418
1673401500000,0.242,0.2423,0.2414,0.2421,136165
1673402400000,0.2421,0.2425,0.2406,0.2407,389820
1673403300000,0.2408,0.2411,0.2392,0.2401,896493
1673404200000,0.2401,0.2407,0.2397,0.2403,431410
1673405100000,0.2402,0.2406,0.2372,0.2382,1947607
1673406000000,0.238,0.2393,0.2379,0.2391,553515
1673406900000,0.239,0.239,0.2362,0.2384,1057484
1673407800000,0.2383,0.2385,0.2373,0.2381,568548
1673408700000,0.2382,0.2383,0.2375,0.2377,170752
1673409600000,0.2376,0.2388,0.2372,0.2386,329534
1673410500000,0.2387,0.2389,0.2383,0.2386,222370
1673411400000,0.2385,0.2385,0.2375,0.2383,298541
1673412300000,0.2383,0.2383,0.2359,0.2369,791226
1673413200000,0.2369,0.2383,0.2365,0.2382,395745
1673414100000,0.2382,0.2387,0.2374,0.2379,279197
1673415000000,0.2379,0.2387,0.2376,0.2383,299567
1673415900000,0.2383,0.2384,0.2372,0.2372,200033
1673416800000,0.2373,0.2387,0.2369,0.2385,730758
1673417700000,0.2385,0.2387,0.238,0.2385,242728
1673418600000,0.2384,0.2387,0.2381,0.2384,352743
1673419500000,0.2384,0.2405,0.2384,0.2398,1753427
1673420400000,0.2397,0.2399,0.2387,0.2393,587544
1673421300000,0.2393,0.2406,0.2393,0.2404,2459290
1673422200000,0.2404,0.2408,0.24,0.2408,386973
1673423100000,0.2408,0.2423,0.2407,0.2413,2010495
1673424000000,0.2414,0.2414,0.2403,0.2407,652139
1673424900000,0.2406,0.2408,0.2395,0.24,647819
1673425800000,0.24,0.2401,0.2382,0.2389,1392146
1673426700000,0.239,0.241,0.239,0.2407,871256
1673427600000,0.2408,0.2413,0.2403,0.2404,318244
1673428500000,0.2404,0.2418,0.2403,0.2408,1420187
1673429400000,0.2408,0.2423,0.2408,0.2422,343601
1673430300000,0.242,0.242,0.2412,0.2417,358797
1673431200000,0.2417,0.2419,0.2412,0.2412,727405
1673432100000,0.2413,0.2419,0.2407,0.2407,463049
1673433000000,0.2409,0.2418,0.2409,0.2414,170435
1673433900000,0.2413,0.2415,0.2409,0.2412,172017
1673434800000,0.241,0.2412,0.2404,0.2408,317168
1673435700000,0.2409,0.241,0.2397,0.2405,409591
1673436600000,0.2404,0.2408,0.2401,0.2404,346635
1673437500000,0.2404,0.2404,0.2398,0.2401,358253
1673438400000,0.24,0.2401,0.2395,0.24,472526
1673439300000,0.2399,0.2399,0.2386,0.239,587688
1673440200000,0.2389,0.2399,0.2387,0.2392,221893
1673441100000,0.2391,0.2403,0.2391,0.2402,218445
1673442000000,0.2402,0.2409,0.2399,0.2405,492995
1673442900000,0.2404,0.241,0.2398,0.2399,307428
1673443800000,0.2399,0.24,0.2383,0.2391,521470
1673444700000,0.2388,0.2391,0.2379,0.2389,604194
1673445600000,0.2388,0.2389,0.2366,0.2368,949156
1673446500000,0.2368,0.2375,0.2347,0.2374,4114989
1673447400000,0.2373,0.2397,0.2372,0.2392,2077797
1673448300000,0.2393,0.2398,0.2386,0.2387,574254
1673449200000,0.2388,0.2398,0.2385,0.2394,393299
1673450100000,0.2394,0.2398,0.238,0.2382,295846
1673451000000,0.2381,0.2382,0.2353,0.2359,1795001
1673451900000,0.2358,0.2373,0.2355,0.2364,2677533
1673452800000,0.2363,0.2363,0.2349,0.2362,1689958
1673453700000,0.2362,0.2369,0.2356,0.2364,1470484
1673454600000,0.2363,0.2373,0.2359,0.2372,677682
1673455500000,0.2372,0.2372,0.2359,0.2361,453938
1673456400000,0.2361,0.237,0.2358,0.2363,706363
1673457300000,0.2362,0.2372,0.2362,0.237,400238
1673458200000,0.237,0.2371,0.2361,0.2369,231070
1673459100000,0.2369,0.2369,0.2362,0.2366,203134
1673460000000,0.2365,0.24,0.2363,0.24,1341068
1673460900000,0.2399,0.24,0.2383,0.239,676614
1673461800000,0.239,0.2398,0.2379,0.2386,756338
1673462700000,0.2386,0.2389,0.2375,0.2384,816202
1673463600000,0.2383,0.2396,0.2377,0.2392,1111655
1673464500000,0.2392,0.2414,0.2391,0.2408,1697681
1673465400000,0.2407,0.243,0.2407,0.2427,1479600
1673466300000,0.2429,0.2451,0.2412,0.2437,4703716
1673467200000,0.2437,0.2449,0.2432,0.2436,1633849
1673468100000,0.2436,0.245,0.2436,0.245,1137253
1673469000000,0.2449,0.2454,0.2424,0.2428,3000550
1673469900000,0.2427,0.2434,0.2422,0.2428,678384
1673470800000,0.2428,0.2441,0.2425,0.2427,1116211
1673471700000,0.2427,0.243,0.2412,0.2424,633514
1673472600000,0.2424,0.243,0.2422,0.2429,402626
1673473500000,0.2429,0.2437,0.2429,0.2432,407346
1673474400000,0.2433,0.2441,0.242,0.2429,705199
1673475300000,0.2428,0.2439,0.2425,0.2434,724606
1673476200000,0.2434,0.2466,0.2434,0.2465,1417169
1673477100000,0.2466,0.2542,0.2465,0.2532,7369960
1673478000000,0.2532,0.2536,0.25,0.2508,3279852
1673478900000,0.251,0.256,0.2508,0.2523,3511898
1673479800000,0.2525,0.2566,0.2524,0.2536,8007046
1673480700000,0.2536,0.258,0.2522,0.2559,4873883
1673481600000,0.2559,0.2595,0.2558,0.2567,3340227
1673482500000,0.2568,0.2677,0.2548,0.2634,8608401
1673483400000,0.2633,0.2676,0.2631,0.2666,5597670
1673484300000,0.2665,0.2711,0.2645,0.2659,6622519
1673485200000,0.266,0.2661,0.263,0.265,2438872
1673486100000,0.2651,0.2659,0.2641,0.2653,1893654
1673487000000,0.2652,0.2667,0.2646,0.2649,1257078
1673487900000,0.2648,0.2659,0.2646,0.265,1252694
1673488800000,0.265,0.2671,0.265,0.2652,1595814
1673489700000,0.2652,0.2655,0.2635,0.2641,1521150
1673490600000,0.2641,0.2645,0.2626,0.2627,1752943
1673491500000,0.2627,0.2641,0.26,0.2613,3341894
1673492400000,0.2613,0.2628,0.2612,0.262,1753403
1673493300000,0.2621,0.2625,0.26,0.2618,1480627
1673494200000,0.2617,0.2621,0.26,0.2611,1998984
1673495100000,0.2612,0.2617,0.26,0.2601,1068990
1673496000000,0.2602,0.2615,0.2602,0.2612,1177043
1673496900000,0.2612,0.2621,0.261,0.2611,1196027
1673497800000,0.2612,0.2629,0.261,0.2628,869941
1673498700000,0.2628,0.2628,0.2617,0.2619,675298
1673499600000,0.262,0.2625,0.2612,0.2619,600714
1673500500000,0.2619,0.2625,0.2601,0.2611,1294932
1673501400000,0.2611,0.2616,0.2592,0.2593,1285103
1673502300000,0.2594,0.26,0.2564,0.2569,2579558
1673503200000,0.2568,0.2585,0.2568,0.2581,937948
1673504100000,0.2582,0.2587,0.2576,0.2577,499515
1673505000000,0.2576,0.2583,0.257,0.2582,581445
1673505900000,0.2583,0.2591,0.258,0.2581,623362
1673506800000,0.2581,0.259,0.2577,0.2583,2349323
1673507700000,0.2584,0.2589,0.258,0.2582,1069431
1673508600000,0.2581,0.259,0.2575,0.2575,549405
1673509500000,0.2575,0.2586,0.2571,0.2579,1792699
1673510400000,0.2578,0.2579,0.2547,0.2556,3072468
1673511300000,0.2556,0.2563,0.255,0.2558,2160513
1673512200000,0.2559,0.2562,0.2532,0.2539,1942399
1673513100000,0.2538,0.2555,0.2535,0.2554,1526289
1673514000000,0.2555,0.2557,0.2544,0.2548,874773
1673514900000,0.2548,0.2553,0.2546,0.2553,483799
1673515800000,0.2552,0.2555,0.2546,0.2554,583019
1673516700000,0.2555,0.2565,0.2548,0.2549,858850
1673517600000,0.2548,0.2549,0.2521,0.2527,1645709
1673518500000,0.2527,0.254,0.2527,0.2536,895104
1673519400000,0.2537,0.2543,0.2536,0.2537,510264
