date,open,high,low,close,volume
1673308800000,81.61,81.9,81.61,81.76,3994.633
1673309700000,81.75,82.07,81.67,82.07,4004.074
1673310600000,82.07,82.3,81.95,82.14,5139.016
1673311500000,82.16,82.71,82.02,82.66,6459.686
1673312400000,82.67,82.85,82.14,82.14,11232.521
1673313300000,82.13,82.39,81.9,81.9,5818.956
1673314200000,81.9,82.28,81.76,82.27,6292.057
1673315100000,82.27,82.28,81.94,82.01,3780.716
1673316000000,82.02,82.34,81.94,82.31,3481.732
1673316900000,82.32,82.35,81.31,81.51,27931.665
1673317800000,81.5,81.59,80.05,80.87,41341.507
1673318700000,80.89,81.29,80.85,81.08,9360.518
1673319600000,81.08,81.22,80.52,80.96,13775.634
1673320500000,80.96,81.11,80.7,80.99,20321.203
1673321400000,81,81.02,80.76,81.01,7784.044
1673322300000,81.01,81.24,80.98,81.18,3895.363
1673323200000,81.16,81.27,81.06,81.22,8324.927
1673324100000,81.23,81.26,81.11,81.15,3758.722
1673325000000,81.16,81.18,80.9,81,7265.397
1673325900000,81,81.56,80.99,81.56,6591.748
1673326800000,81.56,81.59,81.2,81.27,4429.309
1673327700000,81.26,81.62,81.23,81.42,22063.033
1673328600000,81.43,81.43,81.12,81.3,10405.239
1673329500000,81.3,81.52,81.26,81.46,3978.115
1673330400000,81.46,81.54,81.27,81.32,3411.832
1673331300000,81.34,81.44,81.19,81.2,2183.808
1673332200000,81.19,81.26,80.97,81.15,7636.345
1673333100000,81.16,81.31,81.05,81.23,3552.671
1673334000000,81.25,81.3,81.01,81.07,3729.197
1673334900000,81.09,81.09,80.9,80.95,3596.128
1673335800000,80.95,81.21,80.87,81.18,4205.676
1673336700000,81.17,81.23,80.96,81.03,2853.39
1673337600000,81.04,81.17,80.84,80.84,3598.195
1673338500000,80.84,81.34,80.83,81.2,22509.942
1673339400000,81.2,81.34,81.09,81.18,7253.913
1673340300000,81.18,81.24,80.97,81.09,11416.344
1673341200000,81.09,81.15,80.93,80.97,5923.895
1673342100000,80.97,81.27,80.97,81.24,7638.86
1673343000000,81.25,81.26,81.07,81.14,2867.84
1673343900000,81.14,81.29,81.13,81.17,5119.982
1673344800000,81.16,81.2,81.06,81.06,3182.532
1673345700000,81.06,81.1,80.8,81.05,19342.009
1673346600000,81.05,81.18,81.01,81.01,4621.145
1673347500000,81.02,81.08,80.9,80.99,6572.601
1673348400000,80.98,81.2,80.91,81.11,2417.412
1673349300000,81.09,81.15,80.88,80.96,5078.688
1673350200000,80.96,81,80.27,80.42,23801.691
1673351100000,80.43,80.63,80.1,80.19,37273.618
1673352000000,80.2,80.52,80,80.45,13793.319
1673352900000,80.44,80.45,80.09,80.24,5551.36
1673353800000,80.24,80.36,80.05,80.31,7912.255
1673354700000,80.32,80.4,79.73,79.97,11902.478
1673355600000,79.98,80.35,79.97,80.19,15166.602
1673356500000,80.19,80.35,80.12,80.2,4404.172
1673357400000,80.19,80.21,79.43,79.89,23308.195
1673358300000,79.9,80.19,79.84,80.04,5493.483
