date,open,high,low,close,volume
1673308800000,1.642,1.655,1.642,1.651,125519.8
1673309700000,1.651,1.658,1.648,1.656,59601.6
1673310600000,1.657,1.659,1.649,1.656,69435.6
1673311500000,1.656,1.666,1.651,1.664,107761.6
1673312400000,1.665,1.668,1.65,1.65,167700.4
1673313300000,1.65,1.656,1.65,1.65,90866.8
1673314200000,1.649,1.66,1.648,1.66,91645.7
1673315100000,1.66,1.663,1.654,1.657,64687.6
1673316000000,1.658,1.667,1.656,1.666,69640.6
1673316900000,1.666,1.667,1.644,1.646,136612.9
1673317800000,1.647,1.648,1.593,1.601,814563
1673318700000,1.601,1.617,1.6,1.613,158788.6
1673319600000,1.614,1.617,1.603,1.612,194354
1673320500000,1.612,1.616,1.607,1.614,79954.8
1673321400000,1.615,1.616,1.608,1.615,107858.8
1673322300000,1.614,1.625,1.614,1.624,82570
1673323200000,1.624,1.628,1.62,1.626,87898.8
1673324100000,1.627,1.63,1.619,1.621,111832
1673325000000,1.621,1.622,1.617,1.622,58398.7
1673325900000,1.622,1.634,1.622,1.634,97232.7
1673326800000,1.634,1.634,1.627,1.629,87351
1673327700000,1.628,1.631,1.624,1.627,80547.8
1673328600000,1.626,1.632,1.624,1.632,38461.8
1673329500000,1.631,1.638,1.63,1.637,60064
1673330400000,1.638,1.639,1.635,1.638,48964.4
1673331300000,1.638,1.643,1.637,1.64,53759.4
1673332200000,1.64,1.641,1.631,1.634,116121.4
1673333100000,1.635,1.639,1.634,1.638,101048.3
1673334000000,1.639,1.641,1.634,1.636,33322.4
1673334900000,1.634,1.636,1.627,1.63,71945.9
1673335800000,1.63,1.637,1.626,1.637,118328.6
1673336700000,1.637,1.638,1.628,1.629,67245.8
1673337600000,1.63,1.634,1.619,1.619,97710.8
1673338500000,1.62,1.644,1.62,1.64,180163.9
1673339400000,1.64,1.642,1.633,1.636,131328.3
1673340300000,1.636,1.646,1.634,1.643,78820.7
1673341200000,1.643,1.644,1.638,1.643,56453.5
1673342100000,1.643,1.649,1.642,1.644,124004.7
1673343000000,1.643,1.643,1.633,1.642,105448.2
1673343900000,1.642,1.647,1.639,1.64,67216.6
1673344800000,1.64,1.643,1.638,1.641,50102.8
1673345700000,1.641,1.645,1.637,1.644,97724.4
1673346600000,1.645,1.645,1.639,1.641,29839.1
1673347500000,1.64,1.645,1.639,1.643,75265.9
1673348400000,1.643,1.645,1.64,1.644,93050.3
1673349300000,1.643,1.644,1.638,1.641,56777.2
1673350200000,1.641,1.641,1.622,1.624,84338.1
1673351100000,1.623,1.633,1.623,1.627,63761.2
1673352000000,1.626,1.631,1.618,1.629,113051.5
1673352900000,1.628,1.629,1.611,1.616,177015.9
1673353800000,1.616,1.622,1.608,1.62,111150.9
1673354700000,1.619,1.619,1.606,1.609,127683.5
1673355600000,1.61,1.617,1.608,1.613,166299.5
1673356500000,1.613,1.62,1.61,1.617,77716.5
1673357400000,1.618,1.618,1.606,1.611,130456.9
1673358300000,1.612,1.619,1.611,1.616,82831.5
1673359200000,1.616,1.638,1.615,1.633,167331.1
1673360100000,1.633,1.634,1.62,1.626,101935.5
1673361000000,1.626,1.635,1.622,1.625,169577.1
1673361900000,1.624,1.628,1.606,1.624,257489.8
1673362800000,1.624,1.633,1.618,1.63,235558
1673363700000,1.632,1.638,1.625,1.627,151764.5
1673364600000,1.626,1.627,1.617,1.62,144539.6
1673365500000,1.619,1.637,1.619,1.634,113582.5
1673366400000,1.634,1.635,1.626,1.627,81105.9
1673367300000,1.626,1.63,1.625,1.626,83959.3
1673368200000,1.626,1.628,1.616,1.618,152319.1
1673369100000,1.617,1.625,1.615,1.624,83536.3
1673370000000,1.624,1.628,1.62,1.626,57852.5
1673370900000,1.626,1.626,1.621,1.624,51321.8
1673371800000,1.624,1.626,1.618,1.625,68247.4
1673372700000,1.625,1.633,1.623,1.631,44449.4
