date,open,high,low,close,volume
1673308800000,5.79,5.857,5.79,5.843,35124.17
1673309700000,5.842,5.849,5.828,5.842,8988.8
1673310600000,5.842,5.864,5.834,5.853,11792.36
1673311500000,5.852,5.866,5.836,5.859,23746.85
1673312400000,5.857,5.88,5.834,5.836,20254.92
1673313300000,5.839,5.855,5.833,5.833,10604.17
1673314200000,5.832,5.864,5.829,5.86,13255.73
1673315100000,5.862,5.864,5.84,5.847,29769.7
1673316000000,5.847,5.869,5.844,5.867,12228.59
1673316900000,5.865,5.865,5.805,5.813,16709.08
1673317800000,5.809,5.819,5.72,5.75,57208.16
1673318700000,5.75,5.8,5.746,5.776,22030.83
1673319600000,5.777,5.785,5.755,5.778,9969.81
1673320500000,5.779,5.783,5.764,5.777,18455.52
1673321400000,5.78,5.793,5.77,5.793,12424.74
1673322300000,5.793,5.814,5.79,5.812,8867.01
1673323200000,5.812,5.819,5.799,5.816,7354.92
1673324100000,5.814,5.816,5.794,5.794,8254.21
1673325000000,5.795,5.802,5.787,5.798,6615.98
1673325900000,5.798,5.838,5.798,5.837,15995.19
1673326800000,5.838,5.839,5.808,5.812,12743.38
1673327700000,5.813,5.824,5.807,5.815,7321.06
1673328600000,5.814,5.827,5.799,5.822,11460.67
1673329500000,5.822,5.83,5.82,5.827,5507.15
1673330400000,5.827,5.837,5.807,5.813,13278.25
1673331300000,5.812,5.822,5.799,5.799,19293.81
1673332200000,5.799,5.804,5.772,5.786,33224.46
1673333100000,5.786,5.798,5.783,5.792,6723.96
1673334000000,5.791,5.796,5.776,5.78,6825.36
1673334900000,5.779,5.782,5.766,5.766,5638.01
1673335800000,5.766,5.78,5.76,5.78,8617.29
1673336700000,5.78,5.781,5.757,5.762,8122.02
1673337600000,5.762,5.765,5.745,5.748,7839.89
1673338500000,5.748,5.805,5.748,5.788,26775.31
1673339400000,5.786,5.796,5.765,5.765,8185.14
1673340300000,5.767,5.786,5.765,5.784,4518.67
1673341200000,5.781,5.781,5.762,5.773,6719.16
1673342100000,5.774,5.788,5.772,5.779,14508.88
1673343000000,5.779,5.779,5.751,5.774,9332.3
1673343900000,5.775,5.788,5.76,5.765,23276.69
1673344800000,5.766,5.777,5.76,5.766,6479.51
1673345700000,5.766,5.783,5.754,5.783,13799.58
1673346600000,5.783,5.786,5.76,5.764,26657.08
1673347500000,5.764,5.777,5.761,5.777,10816.56
1673348400000,5.775,5.781,5.768,5.776,8664.6
1673349300000,5.776,5.776,5.75,5.761,10248.06
1673350200000,5.759,5.759,5.711,5.711,17412.98
1673351100000,5.711,5.74,5.711,5.731,10130.29
1673352000000,5.73,5.747,5.707,5.743,30374.52
1673352900000,5.742,5.745,5.716,5.734,11656.48
1673353800000,5.734,5.734,5.695,5.714,18238.74
1673354700000,5.715,5.715,5.685,5.692,21075.65
1673355600000,5.694,5.708,5.686,5.703,17221.19
1673356500000,5.702,5.715,5.698,5.711,6571.2
1673357400000,5.712,5.712,5.673,5.677,16682.66
