date,open,high,low,close,volume
1609459200000,0.18134,0.18146,0.17831,0.18051,19194919.1
1609462800000,0.18055,0.18469,0.18,0.18358,28601648.4
1609466400000,0.18361,0.18473,0.18229,0.18368,20075571.1
1609470000000,0.18375,0.18458,0.18259,0.18292,15704497.1
1609473600000,0.18299,0.18367,0.18105,0.1818,16338316.2
1609477200000,0.18182,0.18339,0.18171,0.18297,9273656.6
1609480800000,0.18299,0.18319,0.17921,0.181,15597889.8
1609484400000,0.18103,0.18109,0.178,0.17955,21515641.6
1609488000000,0.17955,0.18007,0.17673,0.17762,23376105.6
1609491600000,0.17766,0.17962,0.17718,0.17904,10212369.8
1609495200000,0.179,0.18042,0.17831,0.18021,10838843.8
1609498800000,0.18019,0.18078,0.17914,0.1795,11537578.5
1609502400000,0.17943,0.18227,0.17888,0.1801,26621676.5
1609506000000,0.18015,0.18156,0.18001,0.1811,10550903.9
1609509600000,0.18108,0.18359,0.18037,0.18285,26045371.9
1609513200000,0.18283,0.18343,0.17887,0.18055,24716819.9
1609516800000,0.18057,0.18128,0.17917,0.18001,13642799.2
1609520400000,0.18,0.18013,0.17647,0.17796,21558044.6
1609524000000,0.1779,0.17895,0.17104,0.17465,50098117.3
1609527600000,0.17465,0.17587,0.17,0.17432,43585325.8
1609531200000,0.17432,0.17588,0.17322,0.17503,13696513
1609534800000,0.17505,0.17567,0.17427,0.17521,11162434.7
1609538400000,0.17522,0.17637,0.17432,0.17535,10552993.8
1609542000000,0.17532,0.17588,0.17457,0.17509,7703532.7
1609545600000,0.17505,0.17572,0.17028,0.17171,24549962.7
1609549200000,0.17174,0.17423,0.17016,0.17358,23802982.1
1609552800000,0.17362,0.17474,0.17323,0.17428,7451689
1609556400000,0.17426,0.17618,0.17412,0.17501,9965943
1609560000000,0.175,0.17516,0.17313,0.1743,9816973.5
1609563600000,0.17427,0.17529,0.17391,0.17501,8314137.3
1609567200000,0.17493,0.17507,0.17326,0.17384,10002477.1
1609570800000,0.17396,0.17482,0.17224,0.17242,10577814.9
1609574400000,0.17244,0.17305,0.171,0.17151,18505261.7
1609578000000,0.17155,0.17219,0.1703,0.17064,15389493.5
1609581600000,0.17062,0.17238,0.16793,0.17114,30386899.7
1609585200000,0.17114,0.17235,0.17101,0.17204,10843668.2
1609588800000,0.17207,0.1797,0.17026,0.17958,44341988.3
1609592400000,0.17958,0.18288,0.17665,0.17987,68569484.2
1609596000000,0.17987,0.18091,0.17701,0.17894,37817779.1
1609599600000,0.179,0.17963,0.17737,0.17886,22811216.7
1609603200000,0.17897,0.1838,0.17755,0.18322,47388806
1609606800000,0.18321,0.18434,0.18063,0.18271,41302011.5
1609610400000,0.18271,0.1842,0.18132,0.18285,29233731.1
1609614000000,0.18282,0.18457,0.18259,0.18322,32965701.5
1609617600000,0.1832,0.18383,0.17288,0.17401,67478956.6
1609621200000,0.17416,0.17812,0.1705,0.17729,51776653.1
1609624800000,0.17724,0.17924,0.17595,0.17781,19508177.5
1609628400000,0.17784,0.17882,0.17581,0.17742,17501472.9
1609632000000,0.1774,0.17917,0.17615,0.17647,17732883.2
1609635600000,0.17646,0.177,0.1741,0.17578,22602251.2
1609639200000,0.17578,0.17578,0.17432,0.17494,13452605.3
1609642800000,0.17494,0.17512,0.17392,0.17446,9862448.4
1609646400000,0.17448,0.17628,0.17358,0.1759,10476944.7
1609650000000,0.17572,0.17693,0.17407,0.17472,23537143.5
1609653600000,0.17472,0.17725,0.17451,0.17664,17557383.2
1609657200000,0.17664,0.17665,0.17407,0.17436,21234047.7
1609660800000,0.1743,0.17773,0.17255,0.17655,24684215
1609664400000,0.17658,0.18267,0.17643,0.17928,59397615.2
1609668000000,0.17933,0.187,0.17933,0.18627,72213471.2
1609671600000,0.18627,0.1942,0.18621,0.18882,99457151.3
1609675200000,0.18883,0.1945,0.1881,0.19357,62246219
1609678800000,0.19348,0.20371,0.1917,0.19761,106159607.2
1609682400000,0.19763,0.20225,0.1931,0.19701,104377796.7
1609686000000,0.19703,0.199,0.1886,0.19611,91643254.3
1609689600000,0.19589,0.20199,0.19247,0.193,101364157.2
1609693200000,0.19297,0.19694,0.19205,0.19497,63965782.3
1609696800000,0.19504,0.19629,0.19037,0.19364,43642863.2
1609700400000,0.19366,0.19592,0.19146,0.19516,30895021.1
1609704000000,0.19516,0.19899,0.19477,0.19866,41706445.3
1609707600000,0.19856,0.20167,0.1965,0.19981,34902829.6
1609711200000,0.19986,0.20226,0.19733,0.20126,38651153.6
1609714800000,0.20137,0.2096,0.20068,0.20615,89688159.9
1609718400000,0.20625,0.22053,0.2062,0.21502,136541048.52
1609722000000,0.21515,0.21746,0.21211,0.21555,50003515.7
1609725600000,0.21549,0.21655,0.2115,0.2162,31270898
1609729200000,0.2162,0.22454,0.21565,0.22316,47895819.24
1609732800000,0.22313,0.23191,0.2222,0.22746,73378834.93
1609736400000,0.22761,0.23197,0.22275,0.23131,61134745.1
1609740000000,0.23135,0.23992,0.22667,0.22827,99271735.51
1609743600000,0.22843,0.23153,0.20802,0.21657,117393490.8
1609747200000,0.21667,0.22374,0.20406,0.21384,119393089.7
1609750800000,0.21384,0.21604,0.19559,0.20755,115442104
1609754400000,0.20754,0.20995,0.19203,0.20877,89671782.8
1609758000000,0.20872,0.21348,0.20203,0.21194,59753607.2
1609761600000,0.21203,0.21477,0.20784,0.21119,57197980.1
1609765200000,0.21119,0.21249,0.20442,0.21239,50872830.1
1609768800000,0.2125,0.2178,0.21201,0.21733,56098022.9
1609772400000,0.21726,0.21768,0.2135,0.21612,31091322.1
1609776000000,0.21635,0.21865,0.20682,0.2114,52522702.6
1609779600000,0.2114,0.21323,0.20345,0.20765,41780340.9
