date,open,high,low,close,volume
1609459200000,342.05,343,335.71,341.44,9892.61012
1609462800000,341.38,350.41,341.35,349.71,18350.42822
1609466400000,349.73,355.4,346.78,354.37,13969.9927
1609470000000,354.24,354.95,350.88,350.95,11261.41773
1609473600000,350.93,352.65,347.55,348.21,7392.86978
1609477200000,348,349.4,347.61,348.18,3248.80924
1609480800000,348.18,351.07,347.2,348.66,4130.84445
1609484400000,348.64,348.76,344.5,345.91,5669.89691
1609488000000,345.92,347.31,339.87,341.81,11708.82692
1609491600000,341.72,344.32,341.27,344.11,5054.10602
1609495200000,344.02,349.38,343.69,348.29,9852.22105
1609498800000,348.24,350.2,347.07,347.97,4875.31149
1609502400000,347.83,352.46,346.11,347.03,13041.7657
1609506000000,346.72,349.78,346.69,347.93,6258.6679
1609509600000,347.96,351.95,346.02,347.73,13281.56678
1609513200000,347.66,348.12,343.25,344.99,9121.3962
1609516800000,344.96,347.39,343.63,344.73,5202.99012
1609520400000,344.67,345.34,339.76,341.3,8276.40185
1609524000000,341.21,343.49,331.16,338.47,15939.28802
1609527600000,338.5,338.5,335.96,337.46,5535.45851
1609531200000,337.46,339.99,336.35,339.15,2773.17538
1609534800000,339.03,340.65,337.58,338.71,4166.10713
1609538400000,338.71,340.37,338,339.58,2442.6987
1609542000000,339.67,343.54,338.78,341.83,4208.74168
1609545600000,341.74,344.96,334.69,336.5,12708.51434
1609549200000,336.52,340.59,333.05,340.27,11817.76578
1609552800000,340.45,342,337.23,337.68,8118.2936
1609556400000,337.6,340.32,337.51,339.38,2505.30686
1609560000000,339.34,340.25,337.47,339.48,3611.65138
1609563600000,339.37,342.42,339.36,342.42,3045.11191
1609567200000,342.34,345.06,340.75,343.93,5939.32991
1609570800000,344.08,345.21,341.72,342.68,7309.38126
1609574400000,342.68,343.5,340,340.72,4887.92823
1609578000000,340.83,341.69,337.8,337.88,8453.60473
1609581600000,337.77,352.64,337.56,342.48,29210.82526
1609585200000,342.34,343.77,340.49,343.14,7954.86743
1609588800000,342.94,354,342.37,353.83,29294.85224
1609592400000,353.87,356.59,350.51,354.38,21135.1486
1609596000000,354.43,354.65,347.81,352.2,15776.43733
1609599600000,352.06,356,350.69,354.13,13521.69438
1609603200000,354.01,368,352.47,365.33,44586.71585
1609606800000,365.27,366.84,359.07,360.35,27628.04766
1609610400000,360.42,362.13,358.51,359.75,15665.20835
1609614000000,359.9,363.89,359,361.65,12596.68787
1609617600000,361.62,362.21,347.5,348.55,25569.84982
1609621200000,348.37,354.01,344,352.14,17922.16413
1609624800000,352.17,354.08,348.58,353.1,6004.86563
1609628400000,353.08,354.66,350.14,354.55,6746.47339
1609632000000,354.35,368,354.22,363.5,22710.05678
1609635600000,363.5,364,360.38,361.14,11338.23018
1609639200000,361.25,361.53,358.68,358.73,8475.04447
1609642800000,358.76,359.25,355.51,355.81,7382.3574
1609646400000,355.79,360.43,354.47,360.11,7212.84498
1609650000000,360.16,364.92,358.49,359.1,22932.47158
1609653600000,359.09,369.03,358.14,363.61,24089.53162
1609657200000,363.5,367.54,361.28,363.32,15047.1286
1609660800000,363.32,371.88,359.61,370.43,26633.50418
1609664400000,370.48,390,370.48,390,75544.57531
1609668000000,390,396,383.24,390.03,51550.12653
1609671600000,390.15,396.21,386.57,389.43,27972.5683
1609675200000,389.38,396.7,388.54,391.18,28587.53027
1609678800000,391.4,408.33,391.26,397,53764.35618
1609682400000,397.1,400.85,383.17,393.66,52398.73454
1609686000000,393.62,399.43,381.76,397.43,45754.62612
1609689600000,397.41,417.66,394.66,395.31,87025.99819
1609693200000,395.4,407.48,394.44,402.56,36222.99085
1609696800000,402.71,404.29,393.31,398.95,22260.73883
1609700400000,399.06,400.63,392.16,396.23,15233.66968
