date,open,high,low,close,volume
1609459200000,124.22,124.87,122.89,123.87,42555.42262
1609462800000,123.88,131.94,123.88,131.7,206628.40658
1609466400000,131.71,133.97,129.99,133.33,159978.73923
1609470000000,133.33,133.4,131.26,131.66,75971.71416
1609473600000,131.66,132.3,129.86,130.87,60598.84846
1609477200000,130.86,131.16,130.21,130.88,39693.04671
1609480800000,130.87,132.1,129.19,130.21,69061.02724
1609484400000,130.21,130.38,128.11,129.41,80694.44486
1609488000000,129.4,129.99,124.77,126,150506.82912
1609491600000,126,127.79,125.82,127.32,58944.13431
1609495200000,127.31,128.53,126.9,127.37,39359.54624
1609498800000,127.39,128.88,127.31,127.62,37275.09072
1609502400000,127.62,130.27,125.74,126.62,112132.52368
1609506000000,126.61,128.26,126.51,127.91,40171.37995
1609509600000,127.87,128.7,126.87,127.11,38487.74321
1609513200000,127.13,127.46,125.79,126.34,39981.57555
1609516800000,126.34,127.55,126.01,127.01,43474.42965
1609520400000,127,127,125.03,125.26,53402.05451
1609524000000,125.28,126.51,123.35,125.44,71878.25192
1609527600000,125.41,125.48,124.43,125.26,26698.56567
1609531200000,125.26,126.49,124.75,126.1,34438.65568
1609534800000,126.1,126.3,125.16,125.3,23321.99526
1609538400000,125.3,126.2,125.01,125.93,17031.98413
1609542000000,125.94,126.36,125.51,126.24,17515.39869
1609545600000,126.2,126.75,123.52,124.2,69754.73858
1609549200000,124.21,125.72,123.15,125.32,50370.92054
1609552800000,125.32,125.59,124.28,124.3,27612.7504
1609556400000,124.3,125.89,124.17,125.1,28854.16876
1609560000000,125.1,125.19,124.22,124.95,24123.48551
1609563600000,124.98,126.2,124.96,125.96,31760.15955
1609567200000,125.9,127.36,125.48,126.79,32356.45755
1609570800000,126.78,126.98,125.32,125.4,30431.91166
1609574400000,125.41,125.97,124.34,125.22,30457.48187
1609578000000,125.22,125.45,124,124.14,32617.19177
1609581600000,124.12,127.09,123.8,124.89,58115.21377
1609585200000,124.9,125.53,124.55,125.35,19151.00819
1609588800000,125.33,131.69,125.07,130.36,221575.27161
1609592400000,130.36,132.51,129.13,130.84,230298.24849
1609596000000,130.87,130.93,128.11,129.68,130769.64616
1609599600000,129.69,131.35,129.57,131.13,82812.98992
1609603200000,131.13,142,129.6,140.36,383819.51338
1609606800000,140.41,141.33,136.08,137.94,223581.33139
1609610400000,137.93,138.27,135.12,136.7,128804.61009
1609614000000,136.7,140.7,136.26,138.38,148397.02342
1609617600000,138.38,138.57,132.55,133.26,204390.47308
1609621200000,133,136.17,131.78,134.81,122270.6371
1609624800000,134.8,137.67,134.1,136.46,47502.50958
1609628400000,136.46,138.59,134.79,136.96,82439.02263
1609632000000,136.94,138.22,136,137.24,68575.85316
1609635600000,137.24,139,136.64,137.54,78159.38385
1609639200000,137.5,138.4,136.5,137.51,57136.30686
1609642800000,137.5,137.76,135.36,135.77,46062.16664
1609646400000,135.78,137.02,135.3,136.84,52931.72418
1609650000000,136.83,138.65,136.6,137.32,118739.38512
1609653600000,137.35,142.79,136.92,140.71,170728.23495
1609657200000,140.71,141,137.8,139.16,164158.03889
1609660800000,139.18,144.17,137.51,143.1,159077.42478
1609664400000,143.09,145,141.85,143.47,194833.79023
1609668000000,143.49,151.63,143.44,150.25,303165.50264
1609671600000,150.25,155,149.76,151.82,248955.48414
1609675200000,151.83,152.63,150.21,151.26,121581.33174
1609678800000,151.28,156.17,151.24,152.18,195401.8275
1609682400000,152.2,155,147.2,151.03,270030.36462
1609686000000,151.05,152.1,147.28,150.83,212943.46924
1609689600000,150.87,160,150.02,150.02,392016.08851
1609693200000,150.05,154.43,147.55,152.27,305412.49804
1609696800000,152.27,153.45,149.02,151.5,104080.51768
1609700400000,151.47,152.06,149.1,151.3,67506.59756
1609704000000,151.31,155.83,151.15,154.15,111698.13068
1609707600000,154.16,156.93,153.71,155.83,62398.05098
1609711200000,155.8,159.32,154.89,156.97,86841.09899
1609714800000,156.99,164.7,154,161.24,221400.80571
1609718400000,161.23,163.34,153,158.9,162613.49654
1609722000000,158.86,160.17,155.76,159.4,84964.28696
1609725600000,159.33,161.19,157.73,160.11,80732.59851
1609729200000,160.12,164.72,159.37,163.9,105537.09147
1609732800000,163.89,164.74,161.47,163.85,110326.53159
1609736400000,163.8,166.92,161.9,164.64,160147.8233
1609740000000,164.64,173.66,164.29,167.09,279959.3515
1609743600000,167.09,168.96,152.34,160.36,304637.42582
1609747200000,160.42,163.46,151.23,156.79,219236.88995
1609750800000,156.78,158.27,142.45,151.79,328165.43744
1609754400000,151.79,153.57,139.31,151.28,286230.68032
1609758000000,151.26,153.47,146.89,152.6,179673.40044
1609761600000,152.61,157,150.12,154.96,165717.77364
1609765200000,154.96,155.12,149.81,154.79,134126.52126
1609768800000,154.68,157.84,153.35,157.45,139082.73672
1609772400000,157.46,157.95,151.33,152.78,133997.05888
1609776000000,152.88,153.39,146.24,149.94,193722.5823
1609779600000,149.91,151.22,147.5,149.61,93481.71615
1609783200000,149.58,152.67,149.53,151.26,61945.80041
1609786800000,151.31,153.97,150.62,152.9,65757.861
1609790400000,152.88,154.4,150.35,150.68,55707.92409
1609794000000,150.71,152.49,148.66,150.3,61775.975
1609797600000,150.21,152.8,149.81,152.22,29007.73291
1609801200000,152.22,155.8,150.52,155.34,93873.50772
1609804800000,155.33,159.96,155.33,157.83,167579.19479
1609808400000,157.85,159.29,154.54,157.36,106145.30838
1609812000000,157.39,157.53,151.42,153.14,98899.83454
1609815600000,153.14,154.58,149.33,149.5,118328.62609
1609819200000,149.5,151.6,147.33,149.33,114425.23032
1609822800000,149.33,151.17,146.64,147.89,93728.40369
1609826400000,147.89,152.53,146.52,152.21,83535.77006
1609830000000,152.22,153.75,150.11,150.65,56322.71779
1609833600000,150.64,154.12,150.64,153.6,63383.31666
1609837200000,153.61,156.7,153.6,154.24,93176.45068
1609840800000,154.23,155.19,152.63,154,51503.19638
1609844400000,154,155.53,153.69,154.84,45946.92652
1609848000000,154.92,155.74,152.26,152.3,63629.44648
1609851600000,152.31,153.7,151.32,151.62,42889.97936
1609855200000,151.63,154.58,149.62,154.17,86552.97141
1609858800000,154.17,154.97,153.08,154.27,49388.40155
1609862400000,154.32,157.11,152.86,155.08,91112.95667
1609866000000,155.16,156.04,154.24,155.82,50304.73674
1609869600000,155.82,156.54,154.72,155.67,74551.51517
1609873200000,155.69,159.18,153.91,157,123050.10115
1609876800000,156.99,159.05,155.23,158.28,76607.30861
1609880400000,158.25,159.74,156.61,157.45,76085.2615
1609884000000,157.51,162.8,157.51,160.82,81725.09592
1609887600000,160.78,161.4,157.4,158.43,89333.17379
1609891200000,158.46,159.79,155,157,104357.0683
1609894800000,157,157.61,154.95,156.28,56676.55185
1609898400000,156.28,158.61,156.12,156.84,45475.57412
1609902000000,156.87,157.34,155.6,156.92,34206.48109
1609905600000,156.87,164.81,156.5,162.95,170323.21763
1609909200000,162.99,164.19,159.11,161.17,96881.03075
1609912800000,161.12,162.59,160.11,162.04,40816.65266
