date,open,high,low,close,volume
1609459200000,2.0102,2.0166,1.98,2.0038,315471.69
1609462800000,2.0053,2.0619,2.0053,2.0605,259260.22
1609466400000,2.0604,2.0862,2.0531,2.0828,215719.51
1609470000000,2.0825,2.0845,2.0546,2.0724,406945.89
1609473600000,2.0728,2.0812,2.0278,2.0358,238162.69
1609477200000,2.0361,2.039,2.0315,2.0371,82353.21
1609480800000,2.0372,2.0482,2.0213,2.0304,103375.15
1609484400000,2.031,2.0312,2.0097,2.0222,145368.29
1609488000000,2.0221,2.0226,2.0004,2.0074,204283.14
1609491600000,2.0068,2.0239,2.0057,2.017,66030.46
1609495200000,2.0173,2.0358,2.0164,2.0319,108151.56
1609498800000,2.0322,2.0492,2.0302,2.0387,127715.21
1609502400000,2.0375,2.1078,2.0375,2.0739,652409.07
1609506000000,2.0743,2.1218,2.074,2.1182,327192.58
1609509600000,2.1169,2.1267,2.0946,2.1037,353625.92
1609513200000,2.1037,2.1191,2.0818,2.1015,328436.06
1609516800000,2.1021,2.115,2.0718,2.078,304364.93
1609520400000,2.0768,2.0822,2.0204,2.0328,340383.16
1609524000000,2.0325,2.0458,1.97,2.0098,461203.64
1609527600000,2.0097,2.0218,1.9952,2.0059,162107.22
1609531200000,2.0049,2.0224,1.9976,2.0167,152508.77
1609534800000,2.017,2.0261,2.0072,2.018,297761.98
1609538400000,2.0177,2.0276,2.0136,2.0213,143817.92
1609542000000,2.0228,2.0267,1.9979,2.0075,169998.42
1609545600000,2.0081,2.0096,1.9423,1.9606,815530.13
1609549200000,1.9602,1.9822,1.9473,1.978,175526.6
1609552800000,1.9791,1.9978,1.9764,1.9932,119938.18
1609556400000,1.9945,2.0052,1.9916,1.9947,104439.52
1609560000000,1.9936,2.007,1.9833,2.0057,107707.62
1609563600000,2.0072,2.0107,1.9916,2.0073,120317.91
1609567200000,2.0082,2.0187,1.9988,2.0138,129299.75
1609570800000,2.0144,2.0244,1.9987,1.9995,77830.56
1609574400000,2.0002,2.0082,1.9939,1.9983,78991.95
1609578000000,2.0001,2.008,1.9844,1.9906,133330.55
1609581600000,1.9904,2.0379,1.984,2.0202,429875.26
1609585200000,2.0203,2.032,2.0166,2.0243,100208.41
1609588800000,2.0231,2.0545,2.0011,2.0468,366204.85
1609592400000,2.0468,2.0574,2.0274,2.0298,288893.26
1609596000000,2.0293,2.0339,2.0067,2.0116,206257.83
1609599600000,2.0117,2.0236,2.0051,2.014,272355.11
1609603200000,2.0147,2.0398,1.9901,2.0318,536682.47
1609606800000,2.033,2.0486,2.0027,2.0185,323217.1
1609610400000,2.017,2.026,2.004,2.0106,219477.05
1609614000000,2.0082,2.035,2.0071,2.0172,199103.48
1609617600000,2.019,2.0217,1.9599,1.9745,540118
1609621200000,1.9668,1.9798,1.95,1.9782,474224.97
1609624800000,1.9779,2.0084,1.9725,1.9916,230978.63
1609628400000,1.9913,2.006,1.9796,1.9992,138516.01
1609632000000,1.9989,2.0216,1.9923,1.9976,197392.15
1609635600000,1.9975,2.0059,1.9879,1.9926,144011.88
1609639200000,1.9921,1.995,1.9844,1.9929,78093.16
1609642800000,1.9944,1.9944,1.9833,1.9834,66161.08
1609646400000,1.9832,1.9893,1.9761,1.9819,113309.66
1609650000000,1.9799,1.9982,1.9778,1.98,196943.18
1609653600000,1.981,1.9953,1.976,1.9887,95793.82
1609657200000,1.9887,1.9901,1.9542,1.9587,223730.19
1609660800000,1.9588,1.9925,1.9505,1.99,260422.84
1609664400000,1.9903,2.0185,1.9814,1.989,387435.2
1609668000000,1.9893,2.0064,1.984,2.0055,370478.73
1609671600000,2.006,2.0757,2.0033,2.0491,485103.07
1609675200000,2.0478,2.097,2.0364,2.0909,478462.11
