date,open,high,low,close,volume
1678406400000,14.42,14.45,14.39,14.41,12051.37
1678406460000,14.4,14.43,14.38,14.42,4366.11
1678406520000,14.42,14.42,14.38,14.38,1990
1678406580000,14.39,14.41,14.38,14.4,2507.16
1678406640000,14.39,14.4,14.36,14.38,1809.22
1678406700000,14.38,14.38,14.37,14.38,771.43
1678406760000,14.37,14.37,14.35,14.36,1454.02
1678406820000,14.36,14.36,14.34,14.35,934.3
1678406880000,14.35,14.36,14.34,14.35,286.64
1678406940000,14.34,14.35,14.34,14.34,335.36
1678407000000,14.33,14.34,14.31,14.33,604.75
1678407060000,14.33,14.33,14.31,14.32,1868.04
1678407120000,14.31,14.33,14.3,14.33,1915.4
1678407180000,14.33,14.33,14.3,14.31,2024.05
1678407240000,14.3,14.31,14.27,14.28,7569.28
1678407300000,14.28,14.29,14.24,14.26,4697.64
1678407360000,14.26,14.29,14.26,14.29,3038.61
1678407420000,14.3,14.32,14.3,14.32,327.84
1678407480000,14.33,14.38,14.33,14.37,4149.76
1678407540000,14.36,14.36,14.32,14.32,987.45
1678407600000,14.31,14.32,14.29,14.32,3872.24
1678407660000,14.31,14.34,14.31,14.32,2253.3
1678407720000,14.32,14.34,14.31,14.31,4027.38
1678407780000,14.3,14.3,14.28,14.29,2601.83
1678407840000,14.29,14.34,14.27,14.33,5553.3
1678407900000,14.34,14.4,14.33,14.38,4910.42
1678407960000,14.39,14.39,14.37,14.38,1257.14
1678408020000,14.37,14.39,14.35,14.35,2202.3
1678408080000,14.34,14.34,14.31,14.33,3106.86
1678408140000,14.33,14.35,14.33,14.34,1301.37
1678408200000,14.34,14.36,14.33,14.35,2685.6
1678408260000,14.35,14.35,14.34,14.35,2339.65
1678408320000,14.35,14.36,14.35,14.36,1234.71
1678408380000,14.36,14.37,14.35,14.37,1013.1
1678408440000,14.37,14.42,14.36,14.42,3991.6
1678408500000,14.42,14.43,14.38,14.39,995.4
1678408560000,14.38,14.38,14.36,14.37,2960.38
1678408620000,14.37,14.39,14.36,14.38,1140.28
1678408680000,14.39,14.39,14.36,14.37,1648.89
1678408740000,14.37,14.39,14.37,14.39,959.31
1678408800000,14.38,14.41,14.38,14.39,1830.77
1678408860000,14.39,14.39,14.37,14.37,929.45
1678408920000,14.37,14.39,14.37,14.39,1963.98
1678408980000,14.38,14.4,14.37,14.37,926.98
1678409040000,14.37,14.38,14.35,14.38,1201.81
1678409100000,14.37,14.37,14.34,14.35,528.33
