date,open,high,low,close,volume
1678406400000,20362.21,20367.78,20349.99,20359.9,381.04396
1678406460000,20359.9,20361.92,20337.36,20350.3,456.53888
1678406520000,20350.3,20352.33,20336.4,20341.6,243.05617
1678406580000,20340.94,20348.2,20334.51,20336.36,246.45941
1678406640000,20335.63,20339.44,20324,20333.9,313.21777
1678406700000,20333.07,20336.36,20321.2,20325.98,236.63554
1678406760000,20324.98,20334.65,20319.28,20329.62,236.88369
1678406820000,20328.88,20334.43,20316.44,20322.11,236.75936
1678406880000,20321.19,20330.92,20315.64,20317.05,227.25917
1678406940000,20317.05,20321.19,20305.72,20307.91,286.00225
1678407000000,20307.17,20309.94,20283.1,20294.06,380.25534
1678407060000,20294.06,20297.96,20269.9,20272.95,382.74853
1678407120000,20272.95,20296.89,20262.93,20293.71,459.60704
1678407180000,20292.94,20295.58,20236.13,20244.45,636.57427
1678407240000,20244.45,20250.03,20199.52,20209.72,962.07374
1678407300000,20208.65,20212.25,20150,20150.37,1244.81509
1678407360000,20151.59,20173.56,20115.01,20148.29,1007.97727
1678407420000,20146.27,20199.11,20146.27,20196.31,520.56531
1678407480000,20196.31,20244.85,20195.1,20230.99,761.69473
1678407540000,20232.39,20234.48,20158.79,20162.08,565.84126
1678407600000,20162.08,20170.17,20120.53,20142.87,782.82302
1678407660000,20142.87,20170,20118.62,20119.21,738.88217
1678407720000,20119.21,20140.49,20074,20089.3,1225.77109
1678407780000,20089.3,20091.3,20051.09,20074.54,1043.73048
1678407840000,20073.15,20124.8,20022,20114.17,1637.94346
1678407900000,20114.17,20170.9,20109.84,20149.89,957.90424
1678407960000,20149.89,20152.45,20117.46,20126.88,708.8509
1678408020000,20128.39,20179.93,20126.88,20148.99,645.50908
1678408080000,20148.99,20154.3,20122.51,20148.69,493.24825
1678408140000,20147.62,20152.71,20137.47,20141.16,477.01342
1678408200000,20141.16,20150.01,20110,20111.17,715.61192
1678408260000,20111.17,20115.31,20084.66,20092.01,515.1675
1678408320000,20092.19,20097.01,20070,20080.98,427.84728
1678408380000,20081.7,20096.06,20070,20090.44,457.77793
1678408440000,20088.44,20163.32,20079.91,20158.74,845.8681
1678408500000,20159.74,20180,20124.97,20130,662.08357
1678408560000,20130.21,20133.28,20102.46,20120.21,448.95741
1678408620000,20120.85,20134.44,20108.74,20131.51,319.02746
1678408680000,20131.51,20132.36,20093.42,20111.71,452.96607
1678408740000,20110.5,20122.2,20106.22,20112.69,221.92266
1678408800000,20113.56,20145.9,20106.24,20127.47,508.59478
1678408860000,20125.86,20137,20105.97,20111.61,324.25479
1678408920000,20110.55,20130.84,20109.37,20127.25,219.30261
1678408980000,20127.27,20147,20117.27,20122.48,263.44973
1678409040000,20123.36,20140,20112.3,20129.52,311.20488
1678409100000,20129.52,20132.86,20089.29,20107.43,508.37827
1678409160000,20105.51,20124.71,20091.54,20107.13,451.06532
1678409220000,20105.66,20117.91,20098.47,20117.11,332.61545
