date,open,high,low,close,volume
1678406400000,0.06597,0.06598,0.06589,0.06596,1174684
1678406460000,0.06596,0.06608,0.06591,0.06606,2975732
1678406520000,0.06606,0.06608,0.06597,0.06599,1559891
1678406580000,0.066,0.066,0.06592,0.06593,1017236
1678406640000,0.06592,0.06595,0.06587,0.06593,1102799
1678406700000,0.06592,0.06593,0.06584,0.06587,1441277
1678406760000,0.06586,0.06586,0.0658,0.06582,1419257
1678406820000,0.06582,0.06583,0.0657,0.06572,1440613
1678406880000,0.06573,0.06577,0.0657,0.06573,1242719
1678406940000,0.06574,0.06577,0.06568,0.06569,858415
1678407000000,0.06569,0.0657,0.0656,0.06565,600882
1678407060000,0.06565,0.06566,0.06552,0.06553,1769365
1678407120000,0.06553,0.06566,0.06553,0.06565,962810
1678407180000,0.06565,0.06565,0.06556,0.06559,509194
1678407240000,0.06559,0.06559,0.06545,0.06548,1876567
1678407300000,0.06548,0.06555,0.06536,0.06542,3410927
1678407360000,0.06541,0.06555,0.0654,0.06554,2056690
1678407420000,0.06555,0.06566,0.06554,0.06566,1285991
1678407480000,0.06565,0.06582,0.06565,0.0658,953403
1678407540000,0.0658,0.06581,0.06564,0.06564,1419666
1678407600000,0.06565,0.06566,0.06551,0.06562,1566113
1678407660000,0.06562,0.06573,0.06562,0.06565,771891
1678407720000,0.06565,0.06572,0.06559,0.06562,2284158
1678407780000,0.06561,0.06561,0.06553,0.06556,2116151
1678407840000,0.06556,0.06567,0.0654,0.06566,3412035
1678407900000,0.06567,0.06577,0.06565,0.06576,1091601
1678407960000,0.06575,0.06575,0.06564,0.06565,1090624
1678408020000,0.06565,0.06571,0.06561,0.06561,829541
1678408080000,0.06561,0.06561,0.06543,0.06551,1355808
1678408140000,0.06551,0.06553,0.06548,0.06548,922102
1678408200000,0.06548,0.06561,0.06542,0.06553,1611576
1678408260000,0.06553,0.06554,0.0655,0.06551,624076
1678408320000,0.06552,0.06554,0.06548,0.06549,642205
1678408380000,0.06551,0.06554,0.06547,0.06553,719628
1678408440000,0.06554,0.06571,0.06551,0.06569,661831
1678408500000,0.06568,0.06572,0.06561,0.06564,950944
1678408560000,0.06563,0.06563,0.06549,0.06549,1192299
1678408620000,0.06548,0.06551,0.06542,0.06551,829738
1678408680000,0.0655,0.0655,0.06536,0.0654,935688
1678408740000,0.06542,0.06547,0.06539,0.06541,731976
1678408800000,0.06541,0.06546,0.06538,0.06541,1469678
1678408860000,0.06542,0.06543,0.06531,0.06532,1079211
1678408920000,0.06533,0.06536,0.06529,0.06536,1253954
1678408980000,0.06536,0.06539,0.06528,0.0653,565601
1678409040000,0.0653,0.06535,0.06526,0.06535,981070
1678409100000,0.06533,0.06533,0.0652,0.06527,355153
1678409160000,0.06526,0.0654,0.06523,0.06531,1858774
1678409220000,0.06532,0.06533,0.06524,0.06527,730896
1678409280000,0.06528,0.06528,0.06516,0.06517,1210799
1678409340000,0.06518,0.06524,0.06516,0.06518,619329
1678409400000,0.06518,0.06519,0.06509,0.06516,781304
1678409460000,0.06516,0.06522,0.06508,0.06522,956984
1678409520000,0.06522,0.06525,0.06511,0.06517,597627
1678409580000,0.06516,0.06518,0.06509,0.06511,588336
1678409640000,0.06511,0.06514,0.06503,0.06506,650242
1678409700000,0.06505,0.0652,0.065,0.06516,1522185
1678409760000,0.06517,0.06522,0.06517,0.0652,697331
1678409820000,0.0652,0.0652,0.06515,0.0652,630602
1678409880000,0.06519,0.06527,0.06519,0.06524,363174
1678409940000,0.06522,0.06526,0.06519,0.06525,203694
1678410000000,0.06525,0.06528,0.06521,0.06523,1432571
