date,open,high,low,close,volume
1678406400000,5.386,5.389,5.381,5.384,3469.48
1678406460000,5.384,5.389,5.378,5.387,7214.12
1678406520000,5.387,5.387,5.372,5.375,4337.68
1678406580000,5.375,5.377,5.371,5.372,4352.45
1678406640000,5.371,5.377,5.366,5.376,8284.11
1678406700000,5.375,5.375,5.368,5.369,1894.16
1678406760000,5.369,5.37,5.364,5.368,4679.17
1678406820000,5.368,5.368,5.358,5.358,4422.87
1678406880000,5.36,5.364,5.36,5.361,5133.77
1678406940000,5.361,5.37,5.36,5.366,6458.86
1678407000000,5.366,5.366,5.357,5.358,2154.92
1678407060000,5.36,5.362,5.348,5.35,8116.99
1678407120000,5.349,5.36,5.349,5.358,3758.26
1678407180000,5.358,5.36,5.349,5.349,6890.81
1678407240000,5.348,5.349,5.339,5.344,6400.79
1678407300000,5.345,5.347,5.331,5.332,15127.45
1678407360000,5.333,5.349,5.332,5.347,7905.13
1678407420000,5.348,5.362,5.348,5.36,8958.8
1678407480000,5.361,5.373,5.361,5.368,2890.35
1678407540000,5.365,5.365,5.346,5.346,5564.7
1678407600000,5.347,5.355,5.339,5.354,6659.66
1678407660000,5.351,5.358,5.351,5.353,4281.12
1678407720000,5.353,5.36,5.345,5.345,11685.58
1678407780000,5.344,5.344,5.335,5.342,8694.14
1678407840000,5.341,5.359,5.332,5.356,9388.93
1678407900000,5.357,5.369,5.355,5.367,9956.84
1678407960000,5.368,5.368,5.358,5.359,5848.31
1678408020000,5.359,5.366,5.355,5.355,3929.81
1678408080000,5.355,5.355,5.343,5.351,5128.7
1678408140000,5.35,5.355,5.349,5.351,4390.52
1678408200000,5.351,5.358,5.347,5.351,9517.14
1678408260000,5.35,5.35,5.342,5.343,2404.88
1678408320000,5.343,5.343,5.336,5.337,4189.03
1678408380000,5.337,5.341,5.336,5.341,3137.46
1678408440000,5.34,5.359,5.337,5.358,11062.68
1678408500000,5.359,5.361,5.349,5.349,7686.58
1678408560000,5.349,5.349,5.337,5.338,8496.88
1678408620000,5.337,5.342,5.337,5.342,4432.35
1678408680000,5.341,5.341,5.333,5.338,2729.58
1678408740000,5.337,5.341,5.335,5.337,2125.45
1678408800000,5.338,5.347,5.338,5.341,6798.51
1678408860000,5.341,5.344,5.336,5.338,4085.23
1678408920000,5.339,5.345,5.339,5.344,1718.28
1678408980000,5.344,5.348,5.335,5.336,1285.18
1678409040000,5.336,5.337,5.334,5.335,2249.9
1678409100000,5.334,5.335,5.327,5.332,3834.22
1678409160000,5.329,5.341,5.328,5.341,8499.08
1678409220000,5.342,5.345,5.336,5.34,5404.02
1678409280000,5.341,5.342,5.328,5.328,4259.38
1678409340000,5.329,5.332,5.328,5.329,1364.18
1678409400000,5.33,5.331,5.322,5.326,3327.05
1678409460000,5.326,5.326,5.32,5.323,1762.88
1678409520000,5.325,5.325,5.317,5.32,4132.84
1678409580000,5.318,5.32,5.311,5.312,2825.15
1678409640000,5.312,5.32,5.31,5.31,11303.96
1678409700000,5.312,5.32,5.306,5.318,6820.04
1678409760000,5.319,5.325,5.318,5.325,3858.46
1678409820000,5.326,5.327,5.319,5.325,3506.88
1678409880000,5.325,5.334,5.325,5.33,2983.58
1678409940000,5.33,5.332,5.325,5.332,2612.82
1678410000000,5.331,5.339,5.328,5.329,2710.61
1678410060000,5.329,5.331,5.321,5.321,2295.46
1678410120000,5.321,5.322,5.316,5.316,2639.07
1678410180000,5.317,5.322,5.315,5.315,2742.94
1678410240000,5.314,5.328,5.294,5.328,33815.89
1678410300000,5.327,5.35,5.324,5.34,28227.54
1678410360000,5.34,5.344,5.313,5.317,17248.93
1678410420000,5.314,5.334,5.314,5.319,11915.49
1678410480000,5.321,5.329,5.321,5.328,3782.87
1678410540000,5.327,5.342,5.327,5.341,7441.35
1678410600000,5.342,5.343,5.336,5.336,6005.73
1678410660000,5.335,5.338,5.327,5.331,6107.26
1678410720000,5.334,5.342,5.329,5.333,7351.93
1678410780000,5.332,5.345,5.332,5.341,5832.74
1678410840000,5.34,5.342,5.336,5.338,3484.68
1678410900000,5.337,5.344,5.313,5.339,26817.78
1678410960000,5.341,5.341,5.303,5.311,26356.38
1678411020000,5.311,5.318,5.295,5.3,42104.76
1678411080000,5.302,5.305,5.282,5.294,18760.59
1678411140000,5.295,5.304,5.287,5.294,11954.05
1678411200000,5.296,5.304,5.287,5.304,14965.17
1678411260000,5.305,5.339,5.305,5.334,32725.12
1678411320000,5.332,5.335,5.327,5.333,3724.86
1678411380000,5.334,5.351,5.334,5.34,9691.01
1678411440000,5.338,5.359,5.338,5.341,10148.09
1678411500000,5.342,5.343,5.324,5.327,10798.35
1678411560000,5.327,5.34,5.327,5.34,5476.16
1678411620000,5.341,5.352,5.341,5.344,4482.85
1678411680000,5.347,5.358,5.346,5.356,3237.63
1678411740000,5.356,5.362,5.354,5.361,7379.77
1678411800000,5.362,5.362,5.358,5.362,2836.88
1678411860000,5.361,5.374,5.361,5.374,2042.38
1678411920000,5.376,5.394,5.375,5.382,19876.91
1678411980000,5.383,5.387,5.377,5.383,6312.07
1678412040000,5.382,5.386,5.38,5.383,3523.01
1678412100000,5.384,5.398,5.378,5.393,11629.82
1678412160000,5.392,5.393,5.382,5.387,5798.78
1678412220000,5.389,5.395,5.388,5.395,1419.01
1678412280000,5.395,5.408,5.391,5.404,3430.47
1678412340000,5.403,5.404,5.397,5.401,5113.55
1678412400000,5.402,5.403,5.394,5.402,2035.09
1678412460000,5.401,5.408,5.397,5.407,3816.85
1678412520000,5.408,5.408,5.404,5.404,3035.75
1678412580000,5.407,5.407,5.401,5.402,6225.05
1678412640000,5.402,5.402,5.389,5.392,3920.07
