date,open,high,low,close,volume
1678406400000,1.0172,1.0175,1.0163,1.0174,76963
1678406460000,1.0173,1.0178,1.0159,1.0174,172085.4
1678406520000,1.0175,1.0175,1.0152,1.0158,64021.1
1678406580000,1.0158,1.0174,1.0152,1.0165,128208.1
1678406640000,1.0165,1.0177,1.0151,1.0172,86727.5
1678406700000,1.0171,1.0173,1.0152,1.0152,120713.1
1678406760000,1.0153,1.0159,1.0134,1.0144,52934.5
1678406820000,1.0144,1.0145,1.0117,1.0118,68954.3
1678406880000,1.0119,1.0126,1.0118,1.0119,50953.9
1678406940000,1.0119,1.0129,1.0116,1.0117,52370.9
1678407000000,1.0117,1.0117,1.0083,1.0094,106453.3
1678407060000,1.0095,1.0102,1.0084,1.0084,90052.9
1678407120000,1.0084,1.0104,1.0081,1.0103,92117
1678407180000,1.0101,1.0106,1.0087,1.0088,78939.8
1678407240000,1.0087,1.0088,1.0055,1.006,202236.6
1678407300000,1.0061,1.0074,1.0036,1.0044,268033.2
1678407360000,1.0043,1.0069,1.004,1.0065,182280.2
1678407420000,1.0064,1.0097,1.0064,1.009,144010.1
1678407480000,1.0089,1.012,1.0089,1.0112,307658.9
1678407540000,1.0112,1.0112,1.0069,1.0069,66347.2
1678407600000,1.0068,1.0075,1.0048,1.0067,130387.2
1678407660000,1.0065,1.0081,1.0058,1.0058,129007.6
1678407720000,1.0058,1.0076,1.0049,1.0051,232445.2
1678407780000,1.0051,1.0055,1.0033,1.0046,131943.2
1678407840000,1.0046,1.0068,1.0016,1.0067,552417.5
1678407900000,1.0067,1.0103,1.0061,1.0093,280408.6
1678407960000,1.0092,1.0092,1.0074,1.0074,124319
1678408020000,1.0078,1.0088,1.0066,1.0066,102732.1
1678408080000,1.0064,1.0079,1.0044,1.0077,148048.1
1678408140000,1.0077,1.0081,1.007,1.007,188198.3
1678408200000,1.0071,1.0085,1.0055,1.0061,198174.6
1678408260000,1.006,1.0064,1.0049,1.0054,191289.2
1678408320000,1.0054,1.0054,1.0042,1.0042,48757.2
1678408380000,1.0043,1.0045,1.0031,1.0035,235593.7
1678408440000,1.0035,1.0065,1.0025,1.0061,151686.7
1678408500000,1.0061,1.007,1.0037,1.004,127167.6
1678408560000,1.004,1.004,1.0017,1.0021,191619.8
1678408620000,1.0021,1.004,1.0013,1.004,107175.9
1678408680000,1.004,1.004,1.0009,1.0018,351908.5
1678408740000,1.0022,1.0035,1.0021,1.0024,50851.9
1678408800000,1.0024,1.0041,1.0023,1.0024,120198.9
1678408860000,1.0024,1.0034,1.0015,1.0021,45818.6
1678408920000,1.0022,1.0027,1.0015,1.0021,49869.3
1678408980000,1.0022,1.0031,1.0011,1.0015,52711
1678409040000,1.0015,1.0016,1.0001,1.001,116839.1
1678409100000,1.0007,1.0008,0.9988,1.0006,104347.8
1678409160000,1.0006,1.0027,0.9999,1.001,134056.7
1678409220000,1.001,1.0013,0.9989,1.0002,155328.8
1678409280000,1.0002,1.0005,0.9987,0.9993,54109.2
1678409340000,0.9994,1.0004,0.9987,0.9993,119398.5
1678409400000,0.9993,0.9993,0.998,0.9984,103138.2
1678409460000,0.9991,0.9994,0.9974,0.9994,117744.3
1678409520000,0.9994,0.9994,0.9966,0.9971,256942
1678409580000,0.9971,0.9977,0.9945,0.995,264346.6
1678409640000,0.9951,0.9955,0.9935,0.9946,223526.7
1678409700000,0.9946,0.9972,0.9944,0.9967,187029.4
1678409760000,0.9969,0.9985,0.9969,0.9985,151671.7
1678409820000,0.9985,0.9992,0.9975,0.999,92977.4
1678409880000,0.9989,1.0013,0.9988,1.0001,58662
1678409940000,1,1.0006,0.9992,1.0005,47639
1678410000000,1.0005,1.0013,0.9995,0.9995,54313
1678410060000,0.9995,1.0001,0.9984,0.9985,74402.5
1678410120000,0.9983,0.9983,0.997,0.9971,78692.3
1678410180000,0.9974,0.998,0.9957,0.9957,48216.6
1678410240000,0.9957,0.9989,0.9921,0.9984,621492.2
1678410300000,0.9984,1.0035,0.9974,1.0006,574288.8
1678410360000,1.0006,1.0016,0.9953,0.9964,303810.3
1678410420000,0.9968,0.9985,0.9959,0.9964,215869
1678410480000,0.9966,0.9987,0.9963,0.9983,88731.8
1678410540000,0.9982,1.0007,0.9982,1.0002,67936.5
1678410600000,1.0006,1.0006,0.9989,0.9993,52954.9
1678410660000,0.9994,0.9994,0.9969,0.9972,78177.6
1678410720000,0.9978,0.9988,0.996,0.9964,182490.2
1678410780000,0.9961,0.9978,0.9961,0.9964,52082.8
1678410840000,0.9966,0.9969,0.9956,0.9964,60931.7
1678410900000,0.9967,0.9981,0.9918,0.9964,504221
1678410960000,0.9967,0.9967,0.9886,0.9908,455583.5
1678411020000,0.9911,0.9927,0.9869,0.9886,737823.3
1678411080000,0.9886,0.9899,0.985,0.9874,231698.9
1678411140000,0.9873,0.9885,0.9862,0.9875,157871
1678411200000,0.9876,0.9905,0.9859,0.9905,132231.4
1678411260000,0.9906,0.997,0.9905,0.9956,275431
1678411320000,0.9953,0.9961,0.9943,0.9958,69575
1678411380000,0.9955,0.9975,0.9947,0.9947,81746.1
1678411440000,0.9947,0.9973,0.9947,0.9948,53719.9
1678411500000,0.995,0.9951,0.9915,0.9921,73735.2
1678411560000,0.9919,0.9939,0.9918,0.9939,63195.6
1678411620000,0.994,0.9969,0.994,0.9966,94899.9
1678411680000,0.9963,0.9997,0.9963,0.9986,145746.7
1678411740000,0.9986,1.0002,0.9979,1.0002,108704.9
1678411800000,1.0003,1.0009,0.9992,0.9997,65918.7
1678411860000,0.9999,1.0026,0.9999,1.0024,64993.5
1678411920000,1.0026,1.0072,1.0026,1.0051,471136.1
1678411980000,1.0051,1.0058,1.0036,1.0052,110682.6
1678412040000,1.0051,1.0056,1.0042,1.0043,49201
1678412100000,1.0046,1.0057,1.0032,1.0049,177387.2
1678412160000,1.0049,1.005,1.0031,1.0045,97672.7
1678412220000,1.0047,1.0055,1.0041,1.0049,45293.8
1678412280000,1.0048,1.0086,1.0041,1.0066,99609.3
1678412340000,1.0065,1.0068,1.0054,1.006,76359.2
