date,open,high,low,close,volume
1640995200000,253.9,257.6,253.8,257.2,3258.218
1640997000000,257.3,263.5,257.3,262.2,4357.315
1640998800000,262.2,264.4,261,262.3,2536.242
1641000600000,262.4,262.9,259.8,259.9,1556.254
1641002400000,259.9,261.7,259.9,260.7,1607.133
1641004200000,260.7,260.9,259.7,260,650.602
1641006000000,260.2,263,259.6,263,763.532
1641007800000,263,263.2,261,261.2,1087.154
1641009600000,261.2,262.3,258.3,260,2678.407
1641011400000,260.1,261.2,258.5,258.8,1112.832
1641013200000,258.9,263.3,257.9,262.9,2787.897
1641015000000,262.9,265.6,261,261.3,3476.485
1641016800000,261.5,262.1,260.5,260.8,1057.201
1641018600000,260.6,260.8,258.9,259.2,1126.356
1641020400000,259.3,259.3,257.7,258.4,1561.486
1641022200000,258.4,260,258,258.8,1359.046
1641024000000,258.7,259.9,258.4,258.9,1008.087
1641025800000,258.9,259.1,256.6,257.1,2745.2
1641027600000,257,258.6,256,256.2,5223.938
1641029400000,256.3,256.4,254.3,255.9,1664.139
1641031200000,255.9,257.2,253.7,253.9,1368.829
1641033000000,253.9,255.2,250.2,253.5,7127.534
1641034800000,253.3,254.2,252.8,253.8,1127.533
1641036600000,253.8,254.4,250.6,251.3,5355.198
1641038400000,251.3,252.5,250.7,251.5,4127.931
1641040200000,251.5,253.3,251.5,252.7,1389.261
1641042000000,252.9,253.2,251.8,252.4,1433.028
1641043800000,252.5,254.8,251.9,254.1,2463.11
1641045600000,254.2,254.6,253,254.3,1662.657
1641047400000,254.3,254.6,252.7,253.3,1313.212
1641049200000,253.3,253.8,252,253.8,3126.511
1641051000000,253.9,255.7,253.7,255,2669.189
1641052800000,255.1,258.4,254.8,257.7,3274.617
1641054600000,257.8,257.9,255,255.7,3838.531
1641056400000,255.8,256.3,254.8,255.6,1196.263
1641058200000,255.6,260,255.5,259.4,4464.157
1641060000000,259.5,260,258.1,258.1,1731.163
1641061800000,258.1,258.8,257.1,258.5,993.511
1641063600000,258.6,259,257.5,257.9,781.95
1641065400000,257.9,258.8,257,257.3,1272.311
1641067200000,257.3,257.5,256.1,256.5,1093.142
1641069000000,256.6,259.9,256.5,258.7,2000.976
1641070800000,258.7,262.3,258.6,262.2,3141.493
1641072600000,262.2,262.2,259.1,259.2,2378.531
1641074400000,259.2,259.8,258.9,259.4,617.349
1641076200000,259.4,261.7,259.2,261.2,1507.075
1641078000000,261.2,262,260.1,261.8,2027.431
1641079800000,261.8,266.8,261.5,266.4,5255.435
1641081600000,266.3,267.6,262.3,264.2,6794.115
1641083400000,264.3,265.9,262.7,263.6,2090.029
1641085200000,263.4,263.8,261,261.7,2266.89
1641087000000,261.5,261.7,260.1,260.8,1951.48
1641088800000,260.8,262.3,259.8,260.2,2962.714
1641090600000,260.2,263,260.1,260.3,3262.158
1641092400000,260.5,260.5,257.6,258.7,3846.832
1641094200000,258.6,259.2,257.5,258.1,989.148
1641096000000,258.1,260.9,257.9,260.8,1901.946
1641097800000,260.8,261.4,255,257,4483.572
1641099600000,257,258,256,257.2,2442.201
1641101400000,257.2,258.2,253.4,254.8,8231.2
1641103200000,254.9,256.3,253.8,255.9,1476.191
1641105000000,255.9,256.9,255.3,256.4,898.675
1641106800000,256.3,256.8,255.7,256.3,783.494
1641108600000,256.3,257.4,255.5,255.7,1130.265
1641110400000,255.8,255.9,253.9,254.6,1431.699
1641112200000,254.6,255,253.1,254.9,1907.319
1641114000000,255,257.6,253.8,257.1,2289.543
1641115800000,257.1,257.4,256.5,257.1,1859.171
1641117600000,257.1,258,255.7,255.8,1108.08
1641119400000,255.8,256.8,255.1,255.8,1262.028
1641121200000,255.8,257.4,255.7,257.4,1400.918
1641123000000,257.4,257.8,255.5,256.3,1059.385
1641124800000,256.2,256.2,254.3,256,1567.753
1641126600000,256.1,257.7,255.6,256.9,1082.635
1641128400000,256.8,257.5,255.8,256.8,875.547
1641130200000,256.8,256.9,255.1,255.6,837.323
1641132000000,255.6,257,254.7,254.9,1073.047
1641133800000,254.9,255.9,254.8,255.3,783.824
1641135600000,255.3,257.2,255.2,256.5,1239.569
1641137400000,256.6,257.7,255.9,256.2,1915.501
1641139200000,256.2,259.7,256.2,259.2,4956.791
1641141000000,259.2,261.9,258.4,261,3161.587
1641142800000,261.1,262.3,259.4,260.3,5554.699
1641144600000,260.3,260.9,259.1,260.1,1238.494
1641146400000,260.1,260.8,256,257.5,2822.411
1641148200000,257.7,259.9,255,259.9,3737.178
1641150000000,259.8,260.3,257.5,258.3,2772.287
1641151800000,258.4,261,257.8,259.7,2963.313
1641153600000,259.6,262.4,258.8,262.1,3079.634
1641155400000,262,262,260,261.4,744.435
1641157200000,261.3,262.3,260.8,261.5,783.957
