date,open,high,low,close,volume
1678406400000,277.1,277.1,276.6,277,3172.322
1678406700000,277,277.1,276.5,276.5,1986.071
1678407000000,276.5,276.6,275.7,275.8,2061.86
1678407300000,275.8,276.6,275.2,275.7,2307.027
1678407600000,275.7,275.9,274.7,275.4,2931.033
1678407900000,275.5,276,275.1,275.5,1367.433
1678408200000,275.5,275.6,274.8,275.6,1072.548
1678408500000,275.5,275.8,274.5,274.7,1350.679
1678408800000,274.7,274.9,274.1,274.3,980.961
1678409100000,274.3,274.5,273.7,273.9,1354.976
1678409400000,273.9,274,273.5,273.5,1012.968
1678409700000,273.6,274.3,273.5,274.3,1391.516
1678410000000,274.3,274.3,272.6,273.9,2742.4
1678410300000,273.9,274.8,273.4,274.5,4278.913
1678410600000,274.6,274.6,273.8,273.9,1453.165
1678410900000,273.8,274,271.8,272.1,7091.97
1678411200000,272.1,273.6,271.7,273.3,2191.812
1678411500000,273.3,273.9,272.7,273.9,1203.137
1678411800000,273.9,274.8,273.4,274.7,4489.935
1678412100000,274.7,275,274,274.7,1826.074
1678412400000,274.7,274.9,274.2,274.2,1088.404
1678412700000,274.3,275,274.3,274.7,1105.996
1678413000000,274.6,275.3,274.6,275.2,804.138
1678413300000,275.3,275.4,275,275.2,1047.608
1678413600000,275.2,275.3,274.5,274.9,1105.376
1678413900000,274.9,275.5,274.7,275.4,747.563
1678414200000,275.4,275.5,275.1,275.4,720.649
1678414500000,275.4,275.4,274.4,274.6,1348.338
1678414800000,274.7,274.9,274.1,274.7,1614.219
1678415100000,274.7,274.8,273.8,273.8,2267.623
1678415400000,273.9,274.5,273.9,274.3,686.676
1678415700000,274.2,274.8,274.2,274.7,449.834
1678416000000,274.6,274.8,274.2,274.2,979.339
1678416300000,274.2,274.4,274,274.1,524.633
1678416600000,274.1,274.3,274,274.3,462.368
1678416900000,274.3,274.3,274,274.2,671.701
1678417200000,274.2,274.3,273.9,274,686.077
1678417500000,274,274.2,273.5,274,1134.072
1678417800000,273.9,274.1,273.9,274,328.21
1678418100000,274,274.1,273.9,274.1,248.758
1678418400000,274,274.4,274,274.4,344.779
1678418700000,274.3,274.7,274.3,274.5,425.548
1678419000000,274.5,274.6,274.1,274.4,884.597
1678419300000,274.4,274.6,274.3,274.5,170.095
1678419600000,274.6,274.6,274.5,274.5,214.971
1678419900000,274.6,274.6,274.2,274.3,350.479
1678420200000,274.3,274.4,274,274.1,233.48
1678420500000,274.1,274.1,273.8,273.9,534.16
1678420800000,273.9,274,273.5,273.6,914.932
1678421100000,273.7,273.9,272.8,273.6,1833.814
1678421400000,273.5,273.6,272.7,272.9,887.917
1678421700000,272.9,273,272.5,272.5,631.435
1678422000000,272.6,272.6,272,272.2,949.488
1678422300000,272.1,272.3,272.1,272.3,521.53
1678422600000,272.3,272.3,272,272.2,673.662
1678422900000,272.1,272.2,271.6,271.8,1359.659
1678423200000,271.8,272.5,271.7,272.4,748.646
1678423500000,272.5,272.7,271.9,272.4,1015.824
1678423800000,272.4,272.4,271.9,272,478.449
1678424100000,272,272.1,271.8,271.9,715.139
1678424400000,271.9,272.6,271.8,272.4,1952.333
1678424700000,272.4,272.7,272.2,272.3,801.703
1678425000000,272.2,272.3,271.7,272,502.76
1678425300000,272.1,272.3,271.8,272.2,417.893
1678425600000,272.3,273.9,272.2,272.8,4266.758
1678425900000,272.9,273.5,272.8,273.1,1742.385
1678426200000,273.1,274,273,273.6,928.756
1678426500000,273.6,274.3,273.6,273.9,1660.695
1678426800000,273.9,273.9,273.6,273.8,585.077
1678427100000,273.8,274.1,273.7,273.8,814.294
1678427400000,273.8,274.2,273.7,274.2,474.274
1678427700000,274.2,274.2,273.8,273.9,620.764
1678428000000,274,274.4,273.9,274.4,614.423
