date,open,high,low,close,volume
1678406400000,1437.32,1437.5,1435,1436.13,2505.4643
1678406700000,1436.12,1436.13,1434.01,1434.03,2625.0939
1678407000000,1434.03,1434.36,1428.98,1429.26,3374.3985
1678407300000,1429.25,1434.72,1423.85,1427.09,8299.2782
1678407600000,1427.09,1428.88,1421.18,1428.15,9334.922
1678407900000,1428.14,1431.37,1425.05,1426.53,4113.6547
1678408200000,1426.52,1429.96,1424.52,1429.75,4154.6328
1678408500000,1429.75,1430.31,1425,1426.48,2913.0175
1678408800000,1426.47,1428.12,1426,1426.87,1806.629
1678409100000,1426.88,1427.72,1424.34,1424.94,2119.6947
1678409400000,1424.95,1424.95,1421.36,1422.04,2932.234
1678409700000,1422.05,1426.75,1421.97,1425.9,2664.1797
1678410000000,1425.9,1426.22,1417.21,1424.43,6782.6141
1678410300000,1424.43,1429.48,1418.39,1425.06,9196.8216
1678410600000,1425.05,1425.18,1421.05,1422.56,3841.8438
1678410900000,1422.57,1426.18,1410.27,1412.32,16895.2494
1678411200000,1412.31,1422.59,1409.23,1418.87,9902.8385
1678411500000,1418.86,1424.24,1415.83,1424.24,3690.6832
1678411800000,1424.23,1431.31,1423.09,1427.19,5833.0752
1678412100000,1427.2,1429.96,1425.34,1429.72,3740.4319
1678412400000,1429.72,1430.42,1428,1428.28,3234.1872
1678412700000,1428.27,1430.83,1428,1429.67,3067.2842
1678413000000,1429.68,1432.27,1429.67,1432.13,1517.7733
1678413300000,1432.12,1432.96,1429.14,1429.74,2497.4962
1678413600000,1429.74,1429.99,1428,1429.7,1856.0456
1678413900000,1429.69,1433.67,1428.96,1433.67,3344.7289
1678414200000,1433.67,1433.67,1431,1432.62,1964.1884
1678414500000,1432.62,1432.62,1428,1428.44,2184.4871
1678414800000,1428.45,1428.9,1427.65,1428.79,1036.2454
1678415100000,1428.78,1429.82,1425.41,1425.49,3319.5909
1678415400000,1425.48,1428.69,1425,1427.29,2131.7431
1678415700000,1427.3,1429.7,1427.25,1429.27,1101.4862
1678416000000,1429.28,1429.46,1426.78,1427.3,1549.79
1678416300000,1427.31,1428.3,1426.09,1426.35,1414.2052
1678416600000,1426.36,1426.49,1425.52,1426.33,998.6381
1678416900000,1426.32,1426.52,1425.23,1425.76,680.631
1678417200000,1425.75,1425.94,1423.61,1423.65,1612.9819
1678417500000,1423.64,1426.4,1422.03,1426.1,2352.0675
1678417800000,1426.1,1426.49,1425.34,1426.35,1400.6453
1678418100000,1426.36,1426.59,1425.76,1426.39,564.033
1678418400000,1426.4,1428.56,1426.39,1428.45,1339.7776
1678418700000,1428.46,1430.81,1428,1428,1867.9554
