date,open,high,low,close,volume
1678406400000,6.161,6.168,6.148,6.156,29110.26
1678406700000,6.154,6.157,6.135,6.136,17407.57
1678407000000,6.135,6.135,6.116,6.119,17258.64
1678407300000,6.119,6.151,6.105,6.123,25270.81
1678407600000,6.123,6.136,6.102,6.131,38425.62
1678407900000,6.129,6.146,6.115,6.123,29265.13
1678408200000,6.122,6.137,6.107,6.135,22602.39
1678408500000,6.137,6.14,6.107,6.114,17583.95
1678408800000,6.114,6.119,6.1,6.104,15080.08
1678409100000,6.103,6.106,6.093,6.1,14703.04
1678409400000,6.1,6.1,6.078,6.085,20864.3
1678409700000,6.085,6.114,6.071,6.109,29639.95
1678410000000,6.109,6.113,6.068,6.107,41783.92
1678410300000,6.103,6.127,6.089,6.117,49635.59
1678410600000,6.117,6.117,6.1,6.104,26040.7
1678410900000,6.105,6.11,6.05,6.056,82255.58
1678411200000,6.056,6.11,6.046,6.095,43087.76
1678411500000,6.094,6.117,6.08,6.116,11054.36
1678411800000,6.117,6.149,6.113,6.145,29933.26
1678412100000,6.145,6.165,6.137,6.157,23330.17
1678412400000,6.157,6.16,6.142,6.147,13720.28
1678412700000,6.148,6.166,6.144,6.156,10631.53
1678413000000,6.159,6.17,6.157,6.17,7934.32
1678413300000,6.17,6.177,6.162,6.168,15613.12
1678413600000,6.167,6.171,6.163,6.17,18313.02
1678413900000,6.17,6.174,6.165,6.173,14242.01
1678414200000,6.171,6.171,6.165,6.17,6999.48
1678414500000,6.169,6.169,6.154,6.162,33670.58
1678414800000,6.162,6.166,6.153,6.162,15079.27
1678415100000,6.162,6.166,6.153,6.154,18142.24
1678415400000,6.155,6.173,6.152,6.169,28990.22
1678415700000,6.17,6.179,6.17,6.172,13104.11
1678416000000,6.172,6.172,6.161,6.165,7349.36
1678416300000,6.165,6.167,6.161,6.166,3642.75
1678416600000,6.166,6.17,6.164,6.17,4758.46
1678416900000,6.17,6.172,6.166,6.168,10204.27
1678417200000,6.167,6.168,6.16,6.161,4552.44
1678417500000,6.161,6.175,6.156,6.172,16749.46
1678417800000,6.172,6.177,6.165,6.172,11746.46
1678418100000,6.171,6.172,6.167,6.17,3566.49
1678418400000,6.169,6.18,6.169,6.18,8725.54
1678418700000,6.18,6.186,6.176,6.176,5174.96
1678419000000,6.176,6.181,6.173,6.181,9629.2
1678419300000,6.18,6.183,6.174,6.181,3685.15
1678419600000,6.18,6.187,6.179,6.187,5050.84
1678419900000,6.187,6.187,6.175,6.177,4648.22
1678420200000,6.178,6.181,6.168,6.17,7361.1
1678420500000,6.169,6.171,6.165,6.166,5084.36
1678420800000,6.167,6.167,6.15,6.164,13920.27
1678421100000,6.163,6.166,6.136,6.165,21643.3
1678421400000,6.164,6.166,6.149,6.15,5227.78
1678421700000,6.152,6.16,6.139,6.14,9781.66
1678422000000,6.141,6.156,6.129,6.149,10218.75
1678422300000,6.148,6.151,6.144,6.149,6136.5
1678422600000,6.15,6.152,6.138,6.144,18601.33
1678422900000,6.144,6.144,6.131,6.133,11810.54
1678423200000,6.133,6.155,6.132,6.144,14868.57
1678423500000,6.145,6.149,6.127,6.142,9521.3
1678423800000,6.143,6.145,6.132,6.133,5269.89
1678424100000,6.133,6.148,6.13,6.148,5373.59
1678424400000,6.146,6.161,6.143,6.148,18686.52
1678424700000,6.149,6.15,6.133,6.134,8511.45
1678425000000,6.134,6.14,6.125,6.134,9007.46
1678425300000,6.138,6.149,6.133,6.146,4369.69
1678425600000,6.148,6.162,6.148,6.155,18520.06
1678425900000,6.155,6.161,6.148,6.15,6149.77
1678426200000,6.149,6.174,6.147,6.17,14018.32
1678426500000,6.167,6.176,6.166,6.173,13421.89
1678426800000,6.173,6.175,6.168,6.172,6361.31
1678427100000,6.172,6.179,6.172,6.179,5470.68
1678427400000,6.179,6.183,6.175,6.179,7736.7
1678427700000,6.18,6.188,6.179,6.183,8435.73
1678428000000,6.183,6.198,6.182,6.196,8116.2
1678428300000,6.197,6.198,6.181,6.182,16875.38
1678428600000,6.181,6.186,6.164,6.164,12177
1678428900000,6.165,6.166,6.155,6.158,11448.47
1678429200000,6.158,6.163,6.149,6.149,7588.74
1678429500000,6.15,6.163,6.149,6.158,4084.06
1678429800000,6.157,6.164,6.156,6.156,14227.8
1678430100000,6.158,6.176,6.146,6.164,22762.39
1678430400000,6.165,6.165,6.149,6.154,15587.6
1678430700000,6.155,6.155,6.132,6.137,15581.34
1678431000000,6.136,6.136,6.114,6.123,17436.09
1678431300000,6.124,6.135,6.109,6.128,13490.3
1678431600000,6.127,6.14,6.119,6.133,16669.69
1678431900000,6.134,6.159,6.115,6.138,50596.47
1678432200000,6.138,6.157,6.117,6.117,15654.56
1678432500000,6.116,6.128,6.103,6.127,26157.09
1678432800000,6.129,6.165,6.129,6.162,21197.79
1678433100000,6.162,6.167,6.148,6.163,9113.71
1678433400000,6.164,6.19,6.159,6.189,13746.89
1678433700000,6.189,6.202,6.182,6.192,23685.83
1678434000000,6.193,6.194,6.168,6.168,10551.91
1678434300000,6.168,6.18,6.165,6.165,11385.66
1678434600000,6.165,6.169,6.165,6.167,16613.89
