date,open,high,low,close,volume
1678406400000,1.2931,1.2935,1.2873,1.2895,25588.2
1678406700000,1.2903,1.2904,1.2829,1.2833,21693.12
1678407000000,1.2829,1.2829,1.2763,1.2785,18628.13
1678407300000,1.277,1.285,1.276,1.2799,11129.04
1678407600000,1.279,1.2819,1.2775,1.2819,13404.07
1678407900000,1.2827,1.2868,1.2803,1.2829,19186.73
1678408200000,1.2832,1.2832,1.2788,1.2827,4948.13
1678408500000,1.2837,1.284,1.2769,1.2782,7352.85
1678408800000,1.2787,1.2813,1.2776,1.2779,11740.49
1678409100000,1.2786,1.2786,1.2754,1.2754,3745.82
1678409400000,1.2753,1.2753,1.2643,1.2651,21404.54
1678409700000,1.2653,1.2723,1.2653,1.2711,10952.61
1678410000000,1.2713,1.2731,1.26,1.2681,28865.25
1678410300000,1.2689,1.2731,1.2653,1.271,21769
1678410600000,1.2707,1.2709,1.2614,1.2621,6184.94
1678410900000,1.2616,1.2636,1.25,1.2501,41795.56
1678411200000,1.2515,1.2625,1.25,1.2588,20894.93
1678411500000,1.2591,1.2656,1.2562,1.2656,5618.08
1678411800000,1.2654,1.274,1.2649,1.2733,15821.88
1678412100000,1.2733,1.2814,1.2719,1.2783,9142.16
1678412400000,1.2776,1.2804,1.2743,1.2743,7500.56
1678412700000,1.2754,1.2823,1.2745,1.2772,11918.87
1678413000000,1.2778,1.2815,1.277,1.2815,3020.69
1678413300000,1.2816,1.2826,1.2785,1.2816,3714.01
1678413600000,1.2808,1.2835,1.2803,1.2831,3378.76
1678413900000,1.283,1.2862,1.283,1.2848,3787.38
1678414200000,1.2854,1.2859,1.2819,1.2859,9508.2
1678414500000,1.2842,1.2842,1.277,1.2785,7236.48
1678414800000,1.2784,1.281,1.2773,1.2795,3795.73
1678415100000,1.28,1.2807,1.2758,1.2758,5044.33
1678415400000,1.2781,1.2811,1.2756,1.2764,6726.69
1678415700000,1.2762,1.2814,1.2751,1.2787,6371.36
1678416000000,1.2788,1.2789,1.2767,1.2773,3712.57
1678416300000,1.2775,1.2784,1.2768,1.2773,1710.1
1678416600000,1.2768,1.279,1.2767,1.2783,5066.08
1678416900000,1.2787,1.2804,1.2787,1.2798,28629.58
1678417200000,1.2806,1.2823,1.2787,1.2792,3994.13
1678417500000,1.2773,1.2819,1.2768,1.28,5874.32
1678417800000,1.2811,1.2811,1.2782,1.2793,4542.28
1678418100000,1.2786,1.2786,1.2761,1.2777,4901.41
1678418400000,1.2779,1.2822,1.2779,1.2822,4513.24
1678418700000,1.2822,1.2863,1.2822,1.2839,37974.27
1678419000000,1.2835,1.2847,1.2833,1.2846,5524.41
1678419300000,1.2848,1.2863,1.284,1.2858,3604.4
1678419600000,1.2858,1.2865,1.2851,1.2859,1389.13
1678419900000,1.2857,1.2864,1.2834,1.2834,2805.37
1678420200000,1.2834,1.2834,1.2801,1.2801,3564.41
1678420500000,1.2803,1.2803,1.278,1.278,2460.37
1678420800000,1.2783,1.28,1.2779,1.2793,3107.48
1678421100000,1.2792,1.2793,1.2707,1.2786,44779.56
1678421400000,1.2782,1.2791,1.2773,1.2774,7274.96
1678421700000,1.2777,1.2777,1.2731,1.2732,15442.65
1678422000000,1.2725,1.2739,1.2712,1.2727,4846.63
1678422300000,1.2727,1.2734,1.2717,1.2727,2710.07
1678422600000,1.2727,1.2737,1.2714,1.2725,9547.77
1678422900000,1.2709,1.2714,1.268,1.268,14060.17
1678423200000,1.2686,1.2736,1.2679,1.2734,8916.59
1678423500000,1.2733,1.2754,1.2695,1.2748,6877.73
1678423800000,1.2742,1.2742,1.2723,1.2729,2425.08
1678424100000,1.2727,1.2748,1.2725,1.2725,3446.59
1678424400000,1.2736,1.2773,1.2736,1.2761,8140.86
1678424700000,1.2758,1.2772,1.2751,1.2761,11497.87
1678425000000,1.2759,1.2779,1.2736,1.277,9323.57
1678425300000,1.276,1.2789,1.2739,1.2789,3304.58
1678425600000,1.2781,1.2837,1.278,1.2815,6197.84
1678425900000,1.2814,1.283,1.2786,1.2786,14821.27
1678426200000,1.2792,1.2848,1.2792,1.2833,6930.2
1678426500000,1.2849,1.2857,1.2834,1.2855,10494.66
1678426800000,1.2859,1.2868,1.2852,1.2857,8150
1678427100000,1.2857,1.2878,1.2856,1.2857,1334.95
1678427400000,1.2857,1.2858,1.2843,1.2857,2118.32
1678427700000,1.2857,1.2867,1.2844,1.2867,6032.33
1678428000000,1.2869,1.2909,1.2869,1.2897,8628.5
1678428300000,1.2898,1.2904,1.2844,1.2844,10464.26
1678428600000,1.2843,1.2864,1.2819,1.2819,10639.18
1678428900000,1.2819,1.284,1.2812,1.2832,5572.93
1678429200000,1.2837,1.2853,1.2826,1.2826,3990.5
1678429500000,1.2826,1.2842,1.2823,1.2836,10561.22
1678429800000,1.2826,1.2876,1.2826,1.2839,10811.18
1678430100000,1.2831,1.2874,1.2807,1.2841,8227.57
1678430400000,1.2832,1.2832,1.2803,1.281,3825.9
1678430700000,1.2801,1.2801,1.2777,1.279,13263.55
1678431000000,1.2787,1.2787,1.2734,1.2739,19041.54
1678431300000,1.2758,1.2777,1.2725,1.2762,11132.77
1678431600000,1.2763,1.279,1.2743,1.2747,10250.1
1678431900000,1.275,1.2833,1.2708,1.2788,21503.69
1678432200000,1.2788,1.2815,1.2712,1.2725,6073.52
1678432500000,1.2709,1.2757,1.2653,1.2714,17715.92
1678432800000,1.2719,1.281,1.2719,1.2806,37591.38
1678433100000,1.2797,1.2808,1.2774,1.2805,5113.16
1678433400000,1.2798,1.2831,1.2796,1.2831,18211.41
1678433700000,1.2835,1.285,1.2821,1.2833,16411.65
1678434000000,1.2828,1.2843,1.2782,1.2782,31330.13
1678434300000,1.2788,1.282,1.2785,1.2796,3870.48
1678434600000,1.2789,1.2789,1.2755,1.2783,39987.87
1678434900000,1.2772,1.2817,1.2772,1.2802,13473.6
1678435200000,1.2808,1.2814,1.2756,1.2764,12139.79
1678435500000,1.2764,1.2807,1.2764,1.2789,6956.12
1678435800000,1.28,1.2809,1.2752,1.2763,2788.74
1678436100000,1.2756,1.2768,1.2718,1.2752,22725.83
1678436400000,1.2736,1.2779,1.2736,1.276,14150.47
1678436700000,1.2752,1.2772,1.2746,1.2753,3937.13
