date,open,high,low,close,volume
1678406400000,0.3706,0.3712,0.37,0.3712,2986609
1678406700000,0.3712,0.3712,0.3694,0.3697,2014327
1678407000000,0.3696,0.3697,0.3686,0.3689,2315666
1678407300000,0.3688,0.3703,0.3676,0.3694,2872460
1678407600000,0.3694,0.3697,0.3677,0.3694,2830943
1678407900000,0.3694,0.3705,0.3686,0.3697,2642033
1678408200000,0.3697,0.3701,0.368,0.3701,2316416
1678408500000,0.3701,0.3704,0.3688,0.3693,1533306
1678408800000,0.3693,0.3696,0.3678,0.3681,2367540
1678409100000,0.3681,0.3686,0.3669,0.3673,2026181
1678409400000,0.3673,0.3677,0.3662,0.3667,2168152
1678409700000,0.3666,0.3685,0.3665,0.3682,2601955
1678410000000,0.3682,0.3686,0.3662,0.3681,3156850
1678410300000,0.3681,0.3704,0.3679,0.3697,6320683
1678410600000,0.3698,0.3698,0.3675,0.3677,2415593
1678410900000,0.3676,0.3683,0.365,0.3662,9698672
1678411200000,0.3661,0.3679,0.3655,0.3662,3584396
1678411500000,0.3661,0.3678,0.3649,0.3678,2541061
1678411800000,0.3678,0.3698,0.3673,0.3696,2989986
1678412100000,0.3696,0.371,0.3693,0.3708,2341797
1678412400000,0.3707,0.3709,0.3696,0.3698,1833495
1678412700000,0.3697,0.3706,0.3693,0.3701,1113488
1678413000000,0.37,0.3711,0.37,0.371,781856
1678413300000,0.3709,0.3713,0.3699,0.3704,2017853
1678413600000,0.3704,0.3708,0.3695,0.3703,1529849
1678413900000,0.3702,0.3703,0.3685,0.3686,2776352
1678414200000,0.3685,0.3688,0.3678,0.3686,1825568
1678414500000,0.3685,0.3685,0.3668,0.3672,1457872
1678414800000,0.3672,0.3681,0.3668,0.3681,916482
1678415100000,0.368,0.3684,0.3676,0.3677,882876
1678415400000,0.3676,0.3689,0.3675,0.3687,1105109
1678415700000,0.3686,0.3698,0.3686,0.3693,1339631
1678416000000,0.3693,0.3702,0.3692,0.3693,2740803
1678416300000,0.3692,0.3694,0.3687,0.3691,1387630
1678416600000,0.369,0.37,0.3689,0.3698,942199
1678416900000,0.3698,0.3703,0.3697,0.3703,637589
1678417200000,0.3702,0.3705,0.3701,0.3702,1216899
1678417500000,0.3702,0.3717,0.3698,0.3716,2744536
1678417800000,0.3715,0.3722,0.3714,0.372,1901995
1678418100000,0.372,0.3722,0.3709,0.3711,2556524
1678418400000,0.3711,0.3723,0.3711,0.3721,1296972
1678418700000,0.3721,0.373,0.3721,0.373,1799847
1678419000000,0.373,0.3735,0.3729,0.3734,1454100
1678419300000,0.3733,0.3741,0.3733,0.3741,1171808
1678419600000,0.3741,0.3744,0.3736,0.3741,2046645
1678419900000,0.3741,0.3747,0.3739,0.3747,2017852
1678420200000,0.3746,0.3748,0.3734,0.3737,1104543
1678420500000,0.3736,0.3747,0.3736,0.374,1714953
1678420800000,0.374,0.3743,0.3728,0.373,1769907
1678421100000,0.3729,0.3739,0.372,0.3736,1836994
1678421400000,0.3736,0.3747,0.3735,0.3746,1370667
1678421700000,0.3746,0.3752,0.3742,0.3749,1791251
1678422000000,0.3748,0.3749,0.3729,0.3735,1558864
1678422300000,0.3734,0.3743,0.3732,0.3743,1346134
1678422600000,0.3742,0.3747,0.3738,0.374,1165765
1678422900000,0.3739,0.374,0.3729,0.373,1533672
1678423200000,0.3729,0.374,0.3728,0.3736,875799
1678423500000,0.3736,0.3741,0.373,0.3732,1497518
1678423800000,0.3731,0.3733,0.3721,0.3722,1014064
1678424100000,0.3721,0.3722,0.3711,0.3712,1563216
1678424400000,0.3711,0.3715,0.3708,0.3712,1692105
1678424700000,0.3711,0.3716,0.3709,0.3715,1096896
1678425000000,0.3714,0.3718,0.3709,0.3714,1658451
1678425300000,0.3714,0.3714,0.37,0.3712,2211073
1678425600000,0.3712,0.3725,0.3711,0.3725,1686501
1678425900000,0.3725,0.3725,0.3716,0.3718,1627709
1678426200000,0.3717,0.3732,0.3717,0.3725,1991187
1678426500000,0.3725,0.3726,0.3717,0.3719,1789089
1678426800000,0.3718,0.3719,0.3711,0.3712,2961298
1678427100000,0.3711,0.3724,0.3711,0.3724,2019975
1678427400000,0.3724,0.3726,0.372,0.3723,2021500
1678427700000,0.3722,0.3724,0.3719,0.3722,2359728
1678428000000,0.3721,0.3726,0.3721,0.3725,1175020
1678428300000,0.3725,0.3729,0.3718,0.3719,2285762
1678428600000,0.3718,0.3724,0.3709,0.371,2512352
1678428900000,0.3709,0.371,0.3698,0.37,2116524
1678429200000,0.3699,0.3707,0.3698,0.3699,1935454
1678429500000,0.3699,0.3699,0.3686,0.3688,3107392
1678429800000,0.3688,0.3697,0.3684,0.3685,2704808
1678430100000,0.3684,0.3696,0.3675,0.3688,3080115
1678430400000,0.3688,0.3688,0.3678,0.368,2459061
1678430700000,0.3679,0.3685,0.3677,0.3684,2106572
1678431000000,0.3683,0.3684,0.3671,0.3681,2108468
1678431300000,0.3681,0.369,0.3673,0.3681,2153403
1678431600000,0.3681,0.3692,0.3679,0.3692,1496250
1678431900000,0.3692,0.3706,0.3676,0.3691,4177820
1678432200000,0.369,0.3696,0.3675,0.3677,1712993
1678432500000,0.3676,0.3697,0.3671,0.3697,2023481
1678432800000,0.3696,0.3705,0.3694,0.3703,1506719
1678433100000,0.3703,0.3706,0.3697,0.3702,1296687
1678433400000,0.3702,0.3715,0.3696,0.3712,2491210
1678433700000,0.3711,0.3714,0.3702,0.3706,2692538
1678434000000,0.3706,0.3706,0.3697,0.3698,1415773
1678434300000,0.3697,0.3698,0.3688,0.3694,2490873
1678434600000,0.3693,0.3704,0.3693,0.37,1493774
1678434900000,0.3699,0.3705,0.3699,0.3704,691280
1678435200000,0.3703,0.3705,0.3698,0.3702,1222175
1678435500000,0.3701,0.3715,0.37,0.3714,1102589
1678435800000,0.3714,0.3717,0.3695,0.3698,1541286
1678436100000,0.3698,0.3699,0.3685,0.3686,1495546
1678436400000,0.3686,0.3688,0.3678,0.368,1274602
1678436700000,0.3679,0.3683,0.3675,0.3683,1918902
1678437000000,0.3682,0.3685,0.3678,0.3679,1628230
1678437300000,0.3679,0.3687,0.3679,0.3685,1171070
1678437600000,0.3685,0.3688,0.3679,0.3681,979929
1678437900000,0.368,0.3694,0.3679,0.3693,1350750
1678438200000,0.3692,0.3699,0.3692,0.3697,1197478
1678438500000,0.3696,0.3699,0.3694,0.3695,1287666
1678438800000,0.3695,0.3698,0.3688,0.369,1379955
1678439100000,0.369,0.3692,0.368,0.3681,1674372
1678439400000,0.3681,0.3684,0.3675,0.3683,1825192
1678439700000,0.3682,0.3686,0.3673,0.3686,1866075
1678440000000,0.3685,0.3689,0.3685,0.3688,1406826
1678440300000,0.3688,0.3695,0.3681,0.3683,1339753
1678440600000,0.3682,0.3693,0.3682,0.3691,908693
1678440900000,0.3691,0.3692,0.3658,0.3664,5493543
1678441200000,0.3663,0.3668,0.3638,0.3641,5638883
1678441500000,0.364,0.3651,0.361,0.3651,7848183
1678441800000,0.365,0.3657,0.3649,0.3655,2437541
1678442100000,0.3655,0.3656,0.3643,0.3647,1506224
1678442400000,0.3646,0.3655,0.3627,0.3633,3214447
1678442700000,0.3633,0.3659,0.3633,0.3649,2671280
1678443000000,0.3649,0.3649,0.3634,0.3639,2516527
1678443300000,0.3638,0.3642,0.3623,0.3627,2385356
1678443600000,0.3627,0.3639,0.3627,0.3628,1444926
1678443900000,0.3627,0.3628,0.3593,0.3604,8017391
1678444200000,0.3603,0.3619,0.3596,0.3612,4770647
1678444500000,0.3612,0.3616,0.3596,0.3601,4232171
1678444800000,0.3601,0.3603,0.3571,0.3591,10961924
1678445100000,0.359,0.3609,0.3589,0.3606,3995860
1678445400000,0.3605,0.3617,0.3603,0.3608,2373669
1678445700000,0.3607,0.362,0.3607,0.361,2884312
1678446000000,0.361,0.3632,0.3609,0.3631,2967065
1678446300000,0.3631,0.3637,0.3622,0.3628,2455222
1678446600000,0.3627,0.3634,0.3622,0.3633,1908354
1678446900000,0.3632,0.3632,0.3622,0.3623,1452999
1678447200000,0.3622,0.3631,0.3616,0.3621,1805908
1678447500000,0.362,0.3622,0.3613,0.3616,1332680
1678447800000,0.3616,0.3626,0.3616,0.3625,1361646
1678448100000,0.3624,0.363,0.362,0.363,1475628
1678448400000,0.363,0.3631,0.3616,0.3618,1742846
1678448700000,0.3617,0.3634,0.3617,0.3632,1396571
1678449000000,0.3633,0.3645,0.3622,0.3626,2983330
1678449300000,0.3626,0.3626,0.3609,0.3615,5135384
1678449600000,0.3616,0.3623,0.3605,0.3611,2135941
1678449900000,0.3611,0.3618,0.3605,0.3616,997122
1678450200000,0.3616,0.3633,0.3615,0.3629,1220669
1678450500000,0.3628,0.3643,0.3624,0.3641,2436566
1678450800000,0.364,0.3643,0.363,0.3631,1430839
1678451100000,0.3631,0.3644,0.3621,0.3639,5747188
1678451400000,0.3639,0.364,0.3625,0.3633,1863981
1678451700000,0.3633,0.3639,0.363,0.3638,1645912
1678452000000,0.3638,0.3642,0.3634,0.3641,1185373
1678452300000,0.3641,0.365,0.3633,0.3634,1911906
1678452600000,0.3634,0.3645,0.3632,0.3644,1358965
1678452900000,0.3643,0.365,0.3643,0.3647,1131744
1678453200000,0.3646,0.365,0.3636,0.3638,1744260
1678453500000,0.3638,0.3646,0.3637,0.3644,1174599
1678453800000,0.3644,0.365,0.3643,0.3649,1119186
1678454100000,0.3649,0.3651,0.3644,0.3649,886854
1678454400000,0.3649,0.3658,0.3645,0.3658,959550
1678454700000,0.3658,0.3665,0.3654,0.3658,2474240
1678455000000,0.3657,0.3703,0.3651,0.3686,15195291
1678455300000,0.3685,0.3687,0.3667,0.3682,3807779
1678455600000,0.368,0.3715,0.3678,0.3702,6085631
1678455900000,0.3702,0.3725,0.3701,0.3711,3894679
1678456200000,0.3711,0.372,0.3702,0.3712,3072162
1678456500000,0.3712,0.3714,0.3697,0.3712,3394516
1678456800000,0.3711,0.3712,0.3697,0.3707,2454163
1678457100000,0.3706,0.3708,0.3676,0.3686,3571337
1678457400000,0.3686,0.3701,0.3675,0.3676,5594097
1678457700000,0.3675,0.3681,0.3661,0.3681,3489300
1678458000000,0.368,0.3688,0.3677,0.3686,1666686
1678458300000,0.3685,0.3698,0.3682,0.3693,1883179
1678458600000,0.3693,0.3697,0.3677,0.3678,2632437
1678458900000,0.3678,0.368,0.3668,0.3669,2146373
1678459200000,0.3669,0.3671,0.3646,0.3647,3256024
1678459500000,0.3647,0.3658,0.3637,0.3653,2490200
1678459800000,0.3652,0.3676,0.365,0.3669,2507151
1678460100000,0.3669,0.3675,0.3662,0.3673,1751349
1678460400000,0.3674,0.3686,0.3671,0.3672,2086564
1678460700000,0.3672,0.3684,0.3666,0.3671,1896208
1678461000000,0.3671,0.3677,0.3665,0.3668,1787958
1678461300000,0.3667,0.3674,0.3655,0.3669,1857878
1678461600000,0.3668,0.3672,0.3661,0.3665,1629609
1678461900000,0.3665,0.3668,0.3655,0.3668,1900307
1678462200000,0.3668,0.3679,0.3665,0.3674,1321518
1678462500000,0.3674,0.3682,0.3673,0.3675,1540669
1678462800000,0.3675,0.3681,0.3668,0.3677,1330619
1678463100000,0.3677,0.3682,0.3667,0.3673,2609083
1678463400000,0.3672,0.3695,0.367,0.3693,1921135
1678463700000,0.3693,0.3696,0.3685,0.3689,1526697
1678464000000,0.3689,0.3696,0.3686,0.3692,1967921
1678464300000,0.3691,0.3697,0.3687,0.3691,1660994
1678464600000,0.3691,0.3695,0.3688,0.369,1285407
1678464900000,0.369,0.369,0.3681,0.3684,1372915
1678465200000,0.3683,0.3702,0.3682,0.3696,2965518
1678465500000,0.3696,0.371,0.3695,0.3704,2017384
1678465800000,0.3703,0.3723,0.3703,0.3718,1899655
1678466100000,0.3717,0.3717,0.3694,0.37,2716184
1678466400000,0.3699,0.3701,0.3689,0.3694,1675641
1678466700000,0.3693,0.3694,0.3683,0.3691,1639071
1678467000000,0.3691,0.3695,0.3683,0.3684,1307707
1678467300000,0.3683,0.3683,0.3675,0.3677,1317201
1678467600000,0.3677,0.3682,0.3666,0.3666,1163875
1678467900000,0.3667,0.3673,0.3656,0.3658,994085
1678468200000,0.3658,0.3671,0.3657,0.3663,1110724
1678468500000,0.3663,0.3668,0.3658,0.3659,1643839
1678468800000,0.3659,0.3667,0.365,0.3651,1326063
1678469100000,0.365,0.366,0.365,0.366,1019691
1678469400000,0.366,0.367,0.3658,0.3665,1254277
1678469700000,0.3665,0.367,0.3661,0.3669,1372574
1678470000000,0.3669,0.3671,0.3661,0.3665,1150974
1678470300000,0.3665,0.3678,0.3664,0.3671,1543839
1678470600000,0.367,0.3672,0.3652,0.3659,1183090
1678470900000,0.3658,0.3658,0.3649,0.365,1316724
1678471200000,0.365,0.3656,0.3641,0.3641,992475
1678471500000,0.3641,0.3651,0.364,0.3651,1631104
1678471800000,0.3651,0.3663,0.3651,0.3662,875287
1678472100000,0.3662,0.3662,0.3648,0.3656,1211647
1678472400000,0.3655,0.3659,0.3649,0.3652,940006
1678472700000,0.3652,0.3657,0.3644,0.3648,744313
1678473000000,0.3648,0.3651,0.3644,0.3644,720462
1678473300000,0.3644,0.3652,0.3643,0.3649,1067434
1678473600000,0.365,0.3655,0.365,0.3655,503655
1678473900000,0.3654,0.3662,0.3652,0.3653,692097
1678474200000,0.3652,0.3653,0.3643,0.3648,1258811
1678474500000,0.3648,0.365,0.3643,0.365,865454
1678474800000,0.365,0.3666,0.365,0.3666,986866
1678475100000,0.3665,0.3669,0.3657,0.3669,1085298
1678475400000,0.3669,0.3672,0.3663,0.3666,1040314
1678475700000,0.3666,0.3669,0.366,0.3665,813182
1678476000000,0.3665,0.3667,0.366,0.3661,857869
1678476300000,0.366,0.3661,0.3654,0.3655,781356
1678476600000,0.3654,0.3665,0.3654,0.3663,1149155
1678476900000,0.3663,0.3667,0.3662,0.3664,794666
1678477200000,0.3663,0.3668,0.3659,0.3661,915632
1678477500000,0.3662,0.3675,0.3661,0.3675,1612977
1678477800000,0.3675,0.3678,0.3668,0.3678,1242089
1678478100000,0.3677,0.3684,0.3676,0.3683,894043
1678478400000,0.3682,0.369,0.3679,0.3686,1256323
1678478700000,0.3685,0.3692,0.3681,0.3691,1107465
1678479000000,0.369,0.3696,0.369,0.3693,1080866
1678479300000,0.3692,0.3695,0.3684,0.3684,978737
1678479600000,0.3684,0.3691,0.3682,0.3691,683825
1678479900000,0.3691,0.3696,0.369,0.3694,681868
1678480200000,0.3694,0.3697,0.3692,0.3696,837364
1678480500000,0.3696,0.3697,0.3686,0.3686,773829
1678480800000,0.3686,0.3687,0.368,0.3687,1095763
1678481100000,0.3687,0.3693,0.3687,0.3693,695682
1678481400000,0.3693,0.3695,0.3691,0.3694,728628
1678481700000,0.3693,0.3696,0.3691,0.3694,577881
1678482000000,0.3694,0.3701,0.3693,0.3698,1071161
1678482300000,0.3697,0.3701,0.3691,0.3694,808915
1678482600000,0.3693,0.37,0.3691,0.3692,529920
1678482900000,0.3692,0.3692,0.3686,0.3686,571306
1678483200000,0.3687,0.3687,0.3679,0.3682,589323
1678483500000,0.3682,0.3686,0.367,0.3686,466873
1678483800000,0.3686,0.3692,0.3675,0.3679,824695
1678484100000,0.368,0.368,0.3667,0.367,330320
1678484400000,0.3669,0.3675,0.3667,0.3674,447664
1678484700000,0.3673,0.3676,0.3668,0.3674,602228
1678485000000,0.3675,0.3683,0.3675,0.3682,415412
1678485300000,0.3682,0.37,0.3682,0.3698,1197661
1678485600000,0.3699,0.3708,0.3692,0.3706,1549905
1678485900000,0.3706,0.3711,0.3696,0.3696,691845
1678486200000,0.3695,0.3707,0.3693,0.3705,491056
1678486500000,0.3705,0.3706,0.3699,0.3699,616462
1678486800000,0.37,0.3702,0.3697,0.3697,376221
1678487100000,0.3697,0.3711,0.3696,0.3709,581214
1678487400000,0.3709,0.3709,0.3706,0.3706,417608
1678487700000,0.3706,0.3708,0.3706,0.3708,191419
1678488000000,0.3708,0.3708,0.3696,0.3697,959853
1678488300000,0.3698,0.3706,0.3694,0.3705,413254
1678488600000,0.3706,0.3717,0.3704,0.3716,369888
1678488900000,0.3716,0.3717,0.3706,0.3706,605209
1678489200000,0.3706,0.3713,0.3701,0.3711,970075
1678489500000,0.3712,0.3717,0.3711,0.3717,852617
1678489800000,0.3717,0.3723,0.3707,0.3708,1758446
1678490100000,0.3708,0.3709,0.3705,0.3705,605331
1678490400000,0.3704,0.3709,0.3699,0.37,941145
1678490700000,0.3699,0.3705,0.3697,0.3705,608254
1678491000000,0.3705,0.3708,0.3702,0.3707,944085
1678491300000,0.3707,0.3713,0.3706,0.3711,771921
1678491600000,0.3711,0.3711,0.3704,0.3706,512411
1678491900000,0.3707,0.371,0.3704,0.3707,435648
1678492200000,0.3707,0.3707,0.369,0.3694,1672777
1678492500000,0.3695,0.37,0.3694,0.37,406143
1678492800000,0.3699,0.3701,0.3692,0.3701,626834
1678493100000,0.3701,0.3702,0.369,0.3693,595221
1678493400000,0.3693,0.37,0.3691,0.3693,635061
1678493700000,0.3692,0.3692,0.3685,0.3685,918664
1678494000000,0.3685,0.3689,0.3685,0.3688,215882
1678494300000,0.3688,0.3696,0.3685,0.3693,1202543
1678494600000,0.3693,0.3694,0.3687,0.3693,852893
1678494900000,0.3693,0.3699,0.3687,0.3697,1316166
1678495200000,0.3697,0.3699,0.3682,0.3687,1201328
1678495500000,0.3686,0.3699,0.3684,0.3698,1614704
1678495800000,0.3698,0.3703,0.3688,0.37,2115366
1678496100000,0.37,0.3704,0.3688,0.3697,1688837
1678496400000,0.3696,0.3713,0.3695,0.3704,2212198
1678496700000,0.3704,0.3714,0.3703,0.371,2060976
1678497000000,0.3711,0.3713,0.3703,0.3708,1752643
1678497300000,0.3708,0.371,0.37,0.3701,1677319
1678497600000,0.3701,0.3709,0.3696,0.3708,2157469
1678497900000,0.3708,0.371,0.3698,0.371,1717166
1678498200000,0.3709,0.3719,0.3706,0.3716,2361320
1678498500000,0.3716,0.3722,0.3713,0.3721,1620073
1678498800000,0.3721,0.3738,0.3719,0.3734,4103780
1678499100000,0.3733,0.3733,0.3715,0.3718,2997858
1678499400000,0.3718,0.3732,0.3717,0.3728,2548711
1678499700000,0.3728,0.3741,0.3723,0.3725,2545983
1678500000000,0.3724,0.3737,0.3717,0.3733,2518369
