date,open,high,low,close,volume
1678406400000,0.99,0.994,0.989,0.991,71872.2
1678406700000,0.991,0.992,0.989,0.989,39262.3
1678407000000,0.989,0.99,0.985,0.985,31141.4
1678407300000,0.984,0.99,0.983,0.988,18653.2
1678407600000,0.987,0.987,0.982,0.987,21299.2
1678407900000,0.987,0.989,0.985,0.987,11533.2
1678408200000,0.986,0.988,0.986,0.988,5676
1678408500000,0.989,0.989,0.986,0.987,19796.9
1678408800000,0.988,0.992,0.987,0.99,51090.1
1678409100000,0.99,0.995,0.988,0.994,236480.3
1678409400000,0.995,0.997,0.993,0.996,114609.2
1678409700000,0.996,1,0.995,0.998,9061.8
1678410000000,0.998,1,0.992,0.996,93254.4
1678410300000,0.995,1,0.994,0.999,113078.3
1678410600000,0.999,1,0.994,0.994,30075.6
1678410900000,0.993,0.994,0.987,0.988,222768.5
1678411200000,0.988,0.996,0.987,0.994,40524.9
1678411500000,0.994,0.998,0.992,0.997,27426.1
1678411800000,0.997,0.999,0.995,0.997,44166.1
1678412100000,0.996,1,0.996,0.999,17702.3
1678412400000,0.999,1.003,0.997,1.001,34756.7
1678412700000,1.002,1.009,1.002,1.008,14665.1
1678413000000,1.009,1.01,1.008,1.009,2999.2
1678413300000,1.01,1.01,1.008,1.009,4687
1678413600000,1.01,1.01,1.006,1.007,32343.1
1678413900000,1.007,1.008,1.006,1.008,13503.9
1678414200000,1.007,1.007,1.006,1.007,5632.5
1678414500000,1.006,1.006,1.001,1.002,6461.4
1678414800000,1.001,1.004,1,1.004,5532.7
1678415100000,1.003,1.003,1,1,9661.4
1678415400000,1.002,1.005,1,1.004,12462.3
1678415700000,1.005,1.007,1.005,1.006,5958.7
1678416000000,1.006,1.007,1.005,1.005,11102.3
1678416300000,1.005,1.005,1.003,1.003,5292.5
1678416600000,1.004,1.004,1.003,1.004,1890.3
1678416900000,1.003,1.004,1.002,1.002,12290.5
1678417200000,1.002,1.005,1.002,1.002,7490.5
1678417500000,1.002,1.005,1.001,1.003,12227.8
1678417800000,1.003,1.004,1.003,1.003,3993.4
1678418100000,1.003,1.003,1.002,1.002,1301.5
1678418400000,1.003,1.004,1.003,1.004,13758.7
1678418700000,1.004,1.007,1.004,1.005,3000
1678419000000,1.004,1.004,1.003,1.004,7079.6
1678419300000,1.004,1.004,1.003,1.004,4064.8
1678419600000,1.004,1.004,1.004,1.004,633.9
1678419900000,1.004,1.004,1.001,1.001,4229.6
1678420200000,1.002,1.003,1.001,1.001,10621.5
1678420500000,1,1,0.999,0.999,5027
1678420800000,1,1.001,0.998,1,11375
1678421100000,1,1,0.996,1,16315.9
1678421400000,0.999,1,0.998,0.998,13202.2
1678421700000,0.997,0.997,0.993,0.993,8492.4
1678422000000,0.993,0.994,0.991,0.993,7084.6
1678422300000,0.993,0.993,0.992,0.992,3289.7
1678422600000,0.993,0.994,0.992,0.993,6817.5
1678422900000,0.992,0.992,0.991,0.991,11938
1678423200000,0.991,0.995,0.991,0.994,11528.7
1678423500000,0.995,0.995,0.993,0.995,5281.5
1678423800000,0.995,0.995,0.995,0.995,87.9
1678424100000,0.994,0.995,0.993,0.995,18797.5
1678424400000,0.995,0.998,0.995,0.998,8843.3
1678424700000,0.998,0.999,0.997,0.997,6527.5
1678425000000,0.996,0.996,0.994,0.994,6206.2
1678425300000,0.994,0.998,0.993,0.998,5940.9
1678425600000,0.997,1,0.997,0.999,14549.7
1678425900000,0.999,1,0.998,0.998,835.3
1678426200000,0.999,1.003,0.999,1.002,5499.8
1678426500000,1.002,1.004,1.002,1.002,2893.7
1678426800000,1.002,1.002,1,1,3831.2
1678427100000,1.001,1.002,1.001,1.001,4530.6
1678427400000,1,1.002,1,1.002,1282.1
1678427700000,1.003,1.004,1.003,1.003,10051
1678428000000,1.004,1.005,1.003,1.003,14336.1
1678428300000,1.004,1.004,1.001,1.001,9861.7
1678428600000,1.002,1.002,1,1,7345.9
1678428900000,0.999,0.999,0.997,0.997,1888.8
1678429200000,0.998,0.999,0.997,0.997,2096.5
1678429500000,0.998,1.001,0.998,1,18126.1
1678429800000,1,1.002,1,1.001,12239.7
1678430100000,1,1.003,0.999,1,14460.9
1678430400000,1,1,0.997,0.997,13741.4
1678430700000,0.998,0.998,0.996,0.997,12563.3
1678431000000,0.997,0.997,0.991,0.992,13492.8
1678431300000,0.992,0.993,0.988,0.99,12653.9
1678431600000,0.99,0.994,0.989,0.99,14857
1678431900000,0.99,0.997,0.988,0.993,35608.8
1678432200000,0.993,0.997,0.988,0.988,30351.6
1678432500000,0.987,0.992,0.985,0.992,29261.6
1678432800000,0.993,0.998,0.993,0.998,19788
1678433100000,0.998,1,0.998,1,3347.7
1678433400000,1,1.005,1,1.004,8622.3
1678433700000,1.004,1.006,1.003,1.004,16665.7
1678434000000,1.004,1.004,1.002,1.002,3038.2
1678434300000,1.001,1.004,1.001,1.002,4351.9
1678434600000,1.002,1.002,1,1.001,4846.3
1678434900000,1.001,1.002,1.001,1.001,5425
1678435200000,1.002,1.002,0.999,1,10965.8
1678435500000,1,1.002,0.999,1.001,8483.2
1678435800000,1.002,1.002,1,1,2584.9
1678436100000,1,1,0.998,0.998,2928.6
1678436400000,0.999,1,0.999,1,2730.7
1678436700000,0.999,0.999,0.999,0.999,1453
1678437000000,0.999,1,0.999,0.999,5587
1678437300000,0.999,0.999,0.997,0.997,6025.9
1678437600000,0.997,0.997,0.992,0.992,15068.2
